,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
61,Stefania Bianchini,,,,,,,,,,,,
62,Simona Galassi,1972-06-27,"Forlì, Italy",Flyweight/Super-flyweight,165 cm (5 ft 5 in),,Southpaw,30,23,4,5,1,1
63,Shindo Go,1987-07-18,"Maniwa, Japan[1]",Flyweight/Bantamweight,5 ft 6 in (168 cm)[1],,Orthodox,20,16,11,4,,
64,Myung Ok Ryu,,,,,,,,,,,,
65,Lourdes Juárez,1986-12-19,"Mexico City, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 1+1⁄2 in (156 cm),62+1⁄2 in (159 cm),Orthodox,37,34,4,2,,1
66,Asley González Macías,,,,,,,,,,,,
67,Kwang Ok Kim,,,,,,,,,,,,
68,Anita Christensen,,,,,,,,,,,,
69,Susana Vázquez,,,,,,,,,,,,
70,Galina Koleva Ivanova,,,,,,,,,,,,
71,Susie Ramadan,1979-04-10,,Bantamweight/Super-bantamweight,5 ft 3 in (160 cm),,Orthodox,31,28,12,3,,
72,Catherine Phiri,,,Bantamweight/Super-bantamweight,,,,20,16,10,4,,
73,Jackie Nava,,,,,,,,,,,,
74,Alejandra Marina Oliveras,1978-03-20,"El Carmen, Jujuy, Argentina",Super bantamweight/Featherweight/Lightweight/Light welterweight,5 ft 1 in (155 cm),,Orthodox,38,33,16,3,2,0
75,Marcela Eliana Acuña,,,,,,,,,,,,
76,Yamileth Mercado,1998-03-16,"Chihuahua, México",Super bantamweight,,,,24,21,5,3,,
77,Jelena Mrdjenovich,1982-06-24,"Hay River, Northwest Territories, Canada[1]",Featherweight/Super-featherweight/Lightweight,5 ft 7 in (170 cm),,Orthodox,55,41,19,12,2,
78,Edith Soledad Matthysse,,,,,,,,,,,,
79,Olivia Gerula,,,,,,,,,,,,
80,Frida Wallberg,1983-04-28,"Åtvidaberg, Sweden",Super-featherweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,12,11,2,1,,
81,Eva Wahlström,1980-10-30,"Loviisa, Finland",Super-featherweight/Lightweight,1.68 m (5 ft 6 in),,Orthodox,27,23,3,2,2,
82,Eliza Olson,,,,,,,,,,,,
83,Ann Saccurato,,,,,,,,,,,,
84,Érica Anabella Farías,1984-07-13,"Buenos Aires, Argentina",Lightweight/Light welterweight/Welterweight,,,,34,27,10,7,,
85,Mónica Silvina Acosta,,,,,,,,,,,,
86,Jisselle Salandy,,,,,,,,,,,,
87,Christy Martin,1968-06-12,"Mullens, West Virginia, U.S.[2]",Light middleweight/Middleweight/Super middleweight,5 ft 4+1⁄2 in (164 cm)[1],64 in (163 cm)[1],Orthodox,59,49,31,7,3,
88,Mia St John,1967-06-24,"San Francisco, California, U.S.",Welterweight/Light welterweight/Lightweight/Super featherweight/Featherweight,5 ft 6 in (1.68 m),66+1⁄2 in (169 cm),Orthodox,65,49,19,14,2,0
89,Tiffany Junot,,,,,,,,,,,,
90,Ewa Piatkowska,1984-09-16,"Radom, Poland",Super lightweight/Welterweight/Light middleweight,1.75 m (5 ft 9 in),1.79 m (70 in),Orthodox,17,16,4,1,,
91,Yvonne Reis,,,,,,,,,,,,
92,Laila Ali,,,,,,,,,,,,
93,Natalya Ragozina,,,,,,,,,,,,
94,Vonda Ward,1973-03-16,"Macedonia, Ohio, U.S.",Heavyweight,6 ft 7 in (201 cm),,Orthodox,24,23,17,1,,
95,Alejandra Jiménez,,,,,,,,,,,,
96,Cho Rong Son,,,,,,,,,,,,
97,Ju Hee Kim,,,,,,,,,,,,
98,Ha-Na Kim,,,,,,,,,,,,
99,Xiyan Zhang,,,,,,,,,,,,
100,Naoko Yamaguchi,,,,,,,,,,,,
101,Clara Lescurat,,,,,,,,,,,,
102,Emanuela Pantani,,,,,,,,,,,,
103,Janeth Pérez,,,,,,,,,,,,
104,Irma García,,,,,,,,,,,,
105,Jamie Mitchell,,,,,,,,,,,,
106,Lisa Brown,,,,,,,,,,,,
107,Interim,,,,,,,,,,,,
108,Liliana Palmera,,,,,,,,,,,,
109,Alys Sánchez,1986-09-03,Venezuela,Super bantamweight/Featherweight,,,,25,17,6,7,1,
110,Gao Li Jun,,,,,,,,,,,,
111,Hwa-Won Lee,,,,,,,,,,,,
112,Hyun Mi Choi,,,,,,,,,,,,
113,Alicia Napoleon Espinosa,,,,,,,,,,,,
114,Sumire Yamanaka,,,,,,,,,,,,
115,Nancy Franco,,,,,,,,,,,,
116,Victoria Argueta,,,,,,,,,,,,
117,Naoko Shibata,,,,,,,,,,,,
118,Alondra García,,,,,,,,,,,,
119,[1],,,,,,,,,,,,
120,Gabriela Bouvier,,,,,,,,,,,,
121,Aracely Mucino,,,,,,,,,,,,
122,Gabriela Fundora,,,,,,,,,,,,
123,Katy Wilson Castillo,,,,,,,,,,,,
124,,,,,,,,,,,,,
125,Dahiana Santana,,,,,,,,,,,,
126,Claudia Andrea López,,,,,,,,,,,,
127,Betiana Patricia Viñas,,,,,,,,,,,,
128,Victoria Noelia Bustos,,,,,,,,,,,,
129,Marisa Gabriela Núñez,,,,,,,,,,,,
130,Mary McGee,1986-9-25,American,Lightweight/Light welterweight/Welterweight,5 ft 6 in (168 cm),72 in (183 cm),Orthodox,32,27,15,4,,1
131,Noni Tenge,,,,,,,,,,,,
132,Eva Bajic,,,,,,,,,,,,
133,Paola Gabriela Casalinuovo,,,,,,,,,,,,
134,Lani Daniels,1988-07-15,,Middleweight/Super-middleweight/Light-heavyweight/Heavyweight,169 cm (5 ft 7 in),,Orthodox,,10,,2,2,
135,Brian Nielsen,,,,,,,,,,,,
136,Lennox Lewis,1965-09-02,"West Ham, London, England",Heavyweight,6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,44,41,32,2,1,
137,David Izeqwire,,,,,,,,,,,,
138,Ted Cofie,,,,,,,,,,,,
139,Booker T. Word,,,,,,,,,,,,
140,Carl Thompson,,,,,,,,,,,,
141,Sebastiaan Rothmann,,,,,,,,,,,,
142,Danny Green,,,,,,,,,,,,
143,Jack Massey,1993-04-12,"Chapel-en-le-Frith, Derbyshire, England[1]",Cruiserweight,188 cm (6 ft 2 in),,Orthodox,23,21,12,2,,
144,Lenny LaPaglia,,,,,,,,,,,,
145,Drake Thadzi,,,,,,,,,,,,
146,Willie Ball,,,,,,,,,,,,
147,Todd Nadon,,,,,,,,,,,,
148,Karl Willis,,,,,,,,,,,,
149,Eddie White,,,,,,,,,,,,
150,Mads Larsen,,,,,,,,,,,,
151,Dana Rosenblatt,,,,,,,,,,,,
152,Ramon Arturo Brítez,,,,,,,,,,,,
153,Robin Reid,1971-02-19,"Kingston, Jamaica",Super-middleweight,5 ft 9 in (175 cm),76 in (193 cm),Orthodox,51,42,29,8,1,
154,Donovan George,,,,,,,,,,,,
155,Glenwood Brown,,,,,,,,,,,,
156,Mpush Makambi,,,,,,,,,,,,
157,Etinosa Oliha,,,,,,,,,,,,
158,Lonnie Beasley,,,,,,,,,,,,
159,Patrick Goossen,,,,,,,,,,,,
160,Richard Williams,1971-05-09,England,middleweight,5 ft 9 in (175 cm),72 in (183 cm),Orthodox,27,21,17,5,1,
161,Sergio Martínez,1975-02-21,"Avellaneda, Buenos Aires, Argentina",Welterweight/Light middleweight/Middleweight,5 ft 10 in (178 cm),73 in (185 cm),Southpaw,62,57,32,3,2,
162,Mihály Kótai,,,,,,,,,,,,
163,Steve Conway,1977-10-06,"Hartlepool, England",Super feather/Light/Light welter/Welter/Light middleweight,5 ft 8 in (173 cm),,Southpaw,46,34 (KO 7),,12 (KO 6),,
164,Attila Kovács,,,,,,,,,,,,
165,Julian Williams,,,,,,,,,,,,
166,Dennis Hogan,,,,,,,,,,,,
167,Kenny Gould,1967-05-11,,,1.67 m (5 ft 6 in),,,,,,,,
168,Johnny Bizzarro,,,,,,,,,,,,
169,Peter Malinga,,,,,,,,,,,,
170,Tsiko Mulovhedzi,,,,,,,,,,,,
171,Mike Evgen,,,,,,,,,,,,
172,Mike Johnson,,,,,,,,,,,,
173,Mario Martínez,,,,,,,,,,,,
174,Johar Abu Lashin,,,,,,,,,,,,
175,Israel Cardona,,,,,,,,,,,,
176,Ener Julio,,,,,,,,,,,,
177,Newton Villarreal,,,,,,,,,,,,
178,Pablo Daniel Sarmiento,1971-06-10,"Las Varillas, Cordoba, Argentina",Light Welterweight,180 cm (5 ft 11 in),183 cm (72 in),Orthodox,50,34,16,14,2,0
179,Amado Cabato,,,,,,,,,,,,
180,Billy Irwin,,,,,,,,,,,,
181,Michael Ayers,1965-01-26,"London, England",Lightweight,5 ft 8 in (173 cm),71 in (180 cm),,37,31,27,5,1,
182,Jason Cook,1975-02-27,"Maesteg, Wales",Lightweight,5 ft 9 in (175 cm),,Orthodox,37,30,11,6,1,0
183,Aldo Nazareno Ríos,,,,,,,,,,,,
184,Juan Díaz,1983-09-17,"Houston, Texas, U.S.",Lightweight/Light welterweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,46,42,21,4,,
185,Mlungisi Dlamini,,,,,,,,,,,,
186,Xolisani Ndongeni,,,,,,,,,,,,
187,Jovanni Straffon,,,,,,,,,,,,
188,John Roby,,,,,,,,,,,,
189,Charles Shepherd,,,,,,,,,,,,
190,Affif Djelti,,,,,,,,,,,,
191,Kim Ji-hoon,1987-01-17,"Goyang City, South Korea",Welterweight,5 ft 9.5 in (1.77 m),,,34,25,19,9,0,0
192,José Pedraza,1989-05-08,"Caguas, Puerto Rico",Super featherweight/Lightweight/Light welterweight,5 ft 8+1⁄2 in (174 cm),70+1⁄2 in (179 cm),Ambidextrous,36,29,14,6,1,
193,Jack Asis,,,,,,,,,,,,
194,Radford Beasley,,,,,,,,,,,,
195,Lusanda Komanisi,,,,,,,,,,,,
196,Hector Andres Sosa,,,,,,,,,,,,
197,John Lowey,1966-08-06,"Dundonald, Northern Ireland, U.K.",super bantamweight,,,,31,26,17,5,0,0
198,Serhiy Divakov,,,,,,,,,,,,
199,Simon Ramoni,,,,,,,,,,,,
200,Mike Oliver,,,,,,,,,,,,
201,Thabo Sonjica,,,,,,,,,,,,
202,Stephen Fulton,1994-07-17,"Philadelphia, Pennsylvania, U.S.",Super bantamweight/Featherweight,5 ft 6+1⁄2 in (169 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,22,21,8,1,,
203,Eric Robles Ayala,,,,,,,,,,,,
204,José Sanjuanelo,,,,,,,,,,,,
205,Michell Banquez,,,,,,,,,,,,
206,Ángel Almena,,,,,,,,,,,,
207,Ilido Julio,,,,,,,,,,,,
208,Edison Torres,,,,,,,,,,,,
209,Lunga Ntontela,,,,,,,,,,,,
210,Mbwana Matumla,,,,,,,,,,,,
211,Zolile Mbityi,,,,,,,,,,,,
212,Edrin Dapudong,,,,,,,,,,,,
213,Lwandile Sityatha,,,,,,,,,,,,
214,Masibulele Makepula,,,,,,,,,,,,
215,Maximino Flores,,,,,,,,,,,,
216,José García Bernal,,,,,,,,,,,,
217,Monelisi Mhikiza Myekeni,,,,,,,,,,,,
218,Noel Tuñacao,,,,,,,,,,,,
219,Charles Martin,1986-04-24,"St. Louis, Missouri, U.S.",Heavyweight,6 ft 5 in (196 cm),80 in (203 cm),Southpaw,34,29,26,4,1,
220,Arthur Williams,,,,,,,,,,,,
221,Kelvin Davis,1978-05-26,"Natchez, Mississippi, USA",Cruiserweight,5 ft 7 in (170 cm),,,38,24,17,11,3,0
222,Charles Williams,,,,,,,,,,,,
223,William Guthrie,1967-01-17,"St. Louis, Missouri, United States",Light heavyweight/Cruiserweight,6 ft 1 in (1.85 m),6 ft 2 in (1.88 m),Southpaw,42,35,28,4,3,
224,Reggie Johnson,,,,,,,,,,,,
225,Charles Brewer,1969-10-16,"Philadelphia, Pennsylvania, U.S.",Super Middleweight,6 ft 1 in (1.85 m),78 in (198 cm),Orthodox,51,40,28,11,,
226,Frank Tate,1964-08-27,"Detroit, Michigan, U.S.",Middleweight/Super middleweight/Light heavyweight,6 ft 0 in (183 cm),72 in (183 cm),Orthodox,46,41,24,5,,
227,David Lemieux,1988-12-22,"Montreal, Quebec, Canada",Light middleweight/Middleweight/Super middleweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,48,43,36,5,,
228,Daniel Jacobs,1987-02-03,"Brooklyn, New York City,New York, U.S.",Middleweight/Super middleweight,6 ft (183 cm)[1],73+1⁄2 in (187 cm)[1],Orthodox,41,37,30,4,,
229,Carlos Santos,1955-10-01,"Santurce, Puerto Rico",Super welterweight,1.77 m (5 ft 10 in),,Orthodox,44,41,28,3,,
230,Matthew Hilton,1965-12-17,"Montreal, Quebec, Canada",Light Middleweight/Middleweight,171 cm (5 ft 7 in),,Orthodox,37,32,24,3,2,
231,Robert Hines,,,,,,,,,,,,
232,Gianfranco Rosi,1957-08-05,"Assisi, Umbria, Italy",Welterweight/Light middleweight/Middleweight,5 ft 10 in (178 cm),73+1⁄4 in (186 cm),Orthodox,70,62,18,6,1,1
233,Terry Norris,,,,,,,,,,,,
234,Carlos Molina,1983-05-25,Mexico,Welterwight/Light middleweight/Middleweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,52,38,12,12,2,
235,Simon Brown,,,,,,,,,,,,
236,Gary Hinton,,,,,,,,,,,,
237,Terry Marsh,1958-02-07,"Stepney, London, England",light welterweight,,,orthodox,27,26,10,,1,
238,Rafael Pineda,,,,,,,,,,,,
239,Charles Murray,,,,,,,,,,,,
240,Amir Khan,1986-12-08,"Bolton, Greater Manchester, England",Lightweight/Light-welterweight/Welterweight/Middleweight,5 ft 81⁄2 in (174 cm)[1],71 in (180 cm)[1],Orthodox,40,34,21,6,,
241,Josh Taylor,1991-01-02,"Prestonpans, Scotland",Light-welterweight,5 ft 10 in (178 cm),69+1⁄2 in (177 cm),Southpaw,20,19,13,1,,
242,Charlie Brown,,,,,,,,,,,,
243,Jimmy Paul,,,,,,,,,,,,
244,Javier Jáuregui,,,,,,,,,,,,
245,Julio Díaz,,,,,,,,,,,,
246,Tony Lopez,1963-02-24,"Sacramento, California, U.S.",Super featherweight/Lightweight/Light welterweight,5 ft 7 in (170 cm)[1],70 in (178 cm)[1],Orthodox,59,50,34,8,1,
247,Brian Mitchell,,,,,,,,,,,,
248,Eddie Hopson,,,,,,,,,,,,
249,Robert Garcia,,,,,,,,,,,,
250,Carlos Hernández,,,,,,,,,,,,
251,Antonio Rivera,,,,,,,,,,,,
252,Manuel Medina,1971-03-30,"Tecuala, Nayarit, Mexico",Featherweight/Super featherweight,5 ft 9 in (175 cm)[1],69 in (175 cm)[1],Orthodox,84,67,32,16,1,
253,Tom Johnson,,,,,,,,,,,,
254,Kid Galahad,,,,,,,,,,,,
255,Kim Ji-won,1959-08-06,"Seoul, South Korea",Super bantamweight,5 ft 7 in (1.70 m),,,18[1],16,7,,2,
256,Jonatan Romero,,,,,,,,,,,,
257,Daniel Roman,1990-05-10,"Los Angeles, California, U.S.",Super bantamweight,5 ft 5 in (165 cm),68 in (173 cm),Orthodox,34,29,10,4,1,
258,Stuart Hall,,,,,,,,,,,,
259,Paul Butler,1988-11-11,"Ellesmere Port, Cheshire, England",Super-flyweight/Bantamweight,5 ft 6 in (168 cm)[1],65 in (165 cm)[1],Orthodox,39,36,17,3,,
260,Harold Grey,,,,,,,,,,,,
261,Danny Romero,1974-07-12,"Albuquerque, New Mexico, U.S.",Flyweight/Super flyweight/Bantamweight/Super bantamweight,5 ft 5 in (165 cm)[1],68 in (173 cm)[1],Orthodox,52,45,38,5,2,
262,Mark Johnson,,,,,,,,,,,,
263,Fernando Martínez,1991-07-18,"Avellaneda, Argentina",Super flyweight,5 ft 3+1⁄2 in (161 cm),64 in (163 cm),Orthodox,16,16,9,,,
264,Jung Bi-won,,,,,,,,,,,,
265,Irene Pacheco,,,,,,,,,,,,
266,Jesse Rodriguez,,,,,,,,,,,,
267,Ricardo López,1966-07-25,"Cuernavaca, Morelos, Mexico",Mini flyweight/Light flyweight,5 ft 5 in (165 cm)[1],64 in (163 cm)[1],Orthodox,52,51,38,,1,
268,Javier Mendoza,,,,,,,,,,,,
269,Eric Chavez,1962-04-09,Philippines,Mini flyweight,163cm,,southpaw,60,40,25,16,4,
270,Daniel Reyes,1972-05-05,"Cartagena de Indias, Colombia",Minimumweight,1.52 m (5 ft 0 in),165 cm (65 in),Orthodox,48,40,30,7,1,
271,Raúl García,1982-09-10,"La Paz, Baja California Sur, Mexico",Mini flyweight,,,Southpaw,43,38,23,4,1,
272,Mario Rodríguez,,,,,,,,,,,,
273,Max Baer,1909-02-11,"Omaha, Nebraska, U.S.",Heavyweight,6 ft 2+1⁄2 in (1.89 m),81 in (206 cm)[1][2],Orthodox,81,68,51,13,,
274,Harold Johnson,,,,,,,,,,,,
275,Bob Foster,1942-04-27,"Borger, Texas, U.S.",Light heavyweight/Heavyweight,6 ft 3 in (191 cm),78.75 in (200 cm),Orthodox,65,56,46,8,1,
276,Mickey Walker,1901-07-13,"Elizabeth, New Jersey",Welterweight/Middleweight/Light Heavyweight/Heavyweight,5 ft 7 in (1.70 m),67 in (170 cm),Orthodox,164,131,60,25,6,2
277,Carl Olson,1928-07-11,American,Middleweight,179 cm,178 cm,orthodox,115,97,47,16,2,
278,José Durán,,,,,,,,,,,,
279,Masashi Kudo,1951-08-24,"Gojōme, Akita, Japan",Light middleweight/Middleweight,5 ft 8 in (173 cm),,Orthodox,24,23,12,1,,
280,Jack Thompson,,,,,,,,,,,,
281,Tommy Freeman,1904-01-22,"Hot Springs, Arkansas, U.S.",Welterweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,224,174,84,20,21,
282,Danny Garcia,1988-03-20,"Philadelphia, Pennsylvania, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,40,37,21,3,,
283,Wallace Smith,1924-04-02,"Cincinnati, Ohio",Lightweight,5 ft 6+1⁄2 in (169 cm),,Orthodox,61,31,18,24,6,0
284,Joe Brown,,,,,,,,,,,,
285,Carlos Ortiz,1936-09-09,"Ponce, Puerto Rico",Lightweight/Light welterweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,70,61,30,7,1,1
286,Carlos Cruz,1937-11-24,"Santiago de los Caballeros, Dominican Republic",Lightweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Orthodox,57,42,14,13,2,
287,Jim Watt,,,,,,,,,,,,
288,Hiroshi Kobayashi,1944-08-23,"Isesaki, Japan",Featherweight/Super featherweight,5 ft 6 in (168 cm),,Orthodox,75,61,10,10,4,
289,Louis Kid Kaplan,,,,,,,,,,,,
290,Freddie Miller,1911-04-03,"Cincinnati, Ohio, U.S.",Featherweight,5 ft 5 in (1.65 m),,Southpaw,251,211,45,30,7,3
291,Davey Moore,,,,,,,,,,,,
292,Danny Lopez,1952-07-06,"Fort Duchesne, Utah, U.S.",Featherweight,5 ft 7+1⁄2 in (171 cm),71 in (180 cm),Orthodox,48,42,39,6,,
293,Eddie Martin,,,,,,,,,,,,
294,Manuel Ortiz,1916-07-02,"Corona, California, United States",Lightweight/Featherweight/Bantamweight,5 ft 5 in (1.65 m),66 in (168 cm),Orthodox,131,100,54,28,3,0
295,Robert Cohen,,,,,,,,,,,,
296,Luis Nery,1994-12-12,"Tijuana, Baja California, Mexico",Bantamweight/Super bantamweight,5 ft 5 in (165 cm),65 in (165 cm),Southpaw,36,35,27,1,,
297,Terry Allen,,,,,,,,,,,,
298,Pascual Perez,1926-05-04,"Mendoza, Argentina",Flyweight,4 ft 11 in (1.50 m),,Orthodox,92,84,57,7,1,
299,Kōji Kobayashi,,,,,,,,,,,,
300,Román González,1987-06-17,"Managua, Nicaragua",Mini flyweight/Light flyweight/Flyweight/Super flyweight,5 ft 3 in (160 cm)[1],64 in (163 cm)[1],Orthodox,55,51,41,4,,
301,Iván Calderón,,,,,,,,,,,,
302,Leeonzer Barber,,,,,,,,,,,,
303,Jason Matthews,1970-07-20,"Hackney, London, England",Middleweight,5 ft 10+1⁄2 in (179 cm),74 in (188 cm),Orthodox,23,21,18,2,,
304,Harry Simon,1971-10-21,"Walvis Bay, Namibia",Light middleweight/Middleweight/Super Middleweight/Light heavyweight,1.78 m (5 ft 10 in),70 in (178 cm),Orthodox,31,31,23,,,
305,Andy Lee,,,,,,,,,,,,
306,John David Jackson,,,,,,,,,,,,
307,Paul Jones,,,,,,,,,,,,
308,Daniel Santos,1975-10-10,"San Juan, Puerto Rico",Welterweight/Light middleweight,5 ft 11+1⁄2 in (182 cm),74 in (188 cm),Southpaw,38,32,23,4,1,1
309,Liam Smith,1988-07-27,"Liverpool, England",Light-middleweight/Middleweight,5 ft 9+1⁄2 in (177 cm) [1],69 in (175 cm),Orthodox,38,33,20,4,1,
310,Genaro León,,,,,,,,,,,,
311,José Luis López,,,,,,,,,,,,
312,Paul Williams,,,,,,,,,,,,
313,Carlos Quintana,1976-11-06,"Moca, Puerto Rico",Welterweight,,,Southpaw,33,29,23,4,,
314,Carlos González,1972-06-15,Mexico,Super-Lightweight,173cm ,183 cm,orthodox,64,55,46,8,1,
315,Sammy Fuentes,,,,,,,,,,,,
316,Ricardo Torres,,,,,,,,,,,,
317,José Ramírez,1958-12-03,"Huatabampo, Sonora, Mexico",Lightweight,5 ft 7 in (170 cm),,Southpaw,111,102,82,9,,
318,Zahir Raheem,,,,,,,,,,,,
319,Terry Flanagan,1989-06-11,"Manchester, England",Super-featherweight/Lightweight/Light-welterweight,5 ft 9+1⁄2 in (177 cm)[1],71 in (180 cm)[1],Southpaw,38,36,14,2,,
320,Barry Jones,1974-03-05,American,Lightweight/Light welterweight/Welterweight,5 ft 6 in (168 cm),72 in (183 cm),Orthodox,32,27,15,4,,1
321,Anatoly Alexandrov,,,,,,,,,,,,
322,Román Martínez,1983-01-31,"Vega Baja, Puerto Rico",Super featherweight,5 ft 8 in (173 cm),67 in (170 cm),Orthodox,37,30,18,4,3,
323,Rubén Darío Palacio,,,,,,,,,,,,
324,Steve Robinson,1968-12-13,"Cardiff, Wales",Featherweight/Super featherweight,,,,51,32,17,17,2,
325,István Kovács,1970-08-17,,,170 cm (5 ft 7 in),,,,,,,,
326,Scott Harrison,,,,,,,,,,,,
327,Juan Manuel López,1983-06-30,Puerto Rico,Super-bantamweight/Featherweight/Super-featherweight,166cm ,175cm,Southpaw,43,36,32,6,1,
328,Orlando Fernandez,,,,,,,,,,,,
329,Daniel Jiménez,1969-11-21,"Camuy, Puerto Rico",Bantamweight/Super bantamweight/Featherweight/Super featherweight,5 ft 5+1⁄2 in (166 cm)[1],71 in (180 cm)[1],Orthodox,45,30,15,13,1,1
330,Rafael del Valle,,,,,,,,,,,,
