,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
14,Mea Motu,1989-12-30,New Zealand,Super Lightweight/Lightweight/Super Featherweight/Featherweight/Super Bantamweight,,,Orthodox,18,18,6,0,0,,F,164,166,New Zealand,New Zealander,Aquarius,super bantamweight
15,Terri Harper,1996-11-02,"Denaby Main, Yorkshire, England",Super-featherweight/Lightweight/Super-welterweight,5 ft 5 in (165 cm)[1],65 in (165 cm)[1],Orthodox,16,14,6,1,2,,F,165 ,165,England,British,Scorpio,super featherweight
16,Lucia Rijker,1967-12-06,,,1.68 m (5 ft 6 in),,,,35,,0,1,,F,168 ,,,,Capricorn,
17,Esther Phiri,1987-06-14,"Lusaka, Zambia",Bantam weight,,,,19,14,5,1,3,1,F,,,Zambia,Zambian,Gemini,
18,Kali Reis,1986-08-24,"Providence, Rhode Island, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 8 in (173 cm),,Orthodox,27,19,5,7,1,,F,173 ,,USA,American,Virgo,welterweight
19,Cecilia Braekhus,1981-09-28,"Cartagena, Colombia",Welterweight/Super welterweight,1.71 m (5 ft 7 in),,Orthodox,39,37,9,2,1,,F,171 ,,Colombia,Colombian,Libra,welterweight
20,Hannah Rankin,1990-07-21,"Luss, Argyll and Bute, Scotland",Light-middleweight/Middleweight/Super-middleweight,5 ft 8 in (173 cm),,Orthodox,18,12,3,6,,,F,173 ,,Scotland,British(scottish),Cancer,middleweight
21,Patricia Berghult,1994-05-02,"Malmö, Sweden",Light-welterweight/Light-middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,16,15,3,1,,,F,174 ,,Sweden,Swedish,Taurus,
22,Sonya Lamonakis,1974-10-07,Greece,Heavyweight/[1],5 ft 7 in (1.70 m)[2],71.0 in (180 cm),,14,10,1,2,3,,F,170 ,180,Greece,Greek,Libra,heavyweight
23,Nao Ikeyama,1969-09-18,"Maniwa, Okayama, Japan",Atomweight/Minimumweight,5 ft 0.5 in (154 cm),,Orthodox,29,18,5,7,4,,F,154 ,,Japan,Japanese,Virgo,minimumweight
24,Nanae Suzuki,1992-05-12,"Ichikawa, Chiba, Japan",Atomweight,5 ft 1 in (155 cm),,Orthodox,18,11,1,6,1,,F,155 ,,Japan,Japanese,Taurus,
25,Hong Su-yun,1987-02-09,"Hwaseong, South Korea",Mini flyweight/Light flyweight,5 ft 3 in (160 cm),63 in (160 cm),Southpaw,17,15,7,1,1,,F,160 ,160,South Korea,South Korean,Aquarius,light flyweight
26,Etsuko Tada,1989-05-28,"Nishinomiya, Japan",Mini-flyweight,5 ft 3+1⁄2 in (161 cm),63 in (160 cm),Southpaw,27,20,7,4,3,,F,161 ,160,Japan,Japanese,Gemini,
27,Kasumi Saeki,1996-07-16,"Konohana-ku, Osaka, Japan",Light flyweight,1.54 m (5 ft 1 in)[1],,Orthodox,4,4,3,,,,F,154 ,,Japan,Japanese,Cancer,light flyweight
28,Yokasta Valle,1992-08-28,"Matagalpa, Nicaragua",Atomweight/Mini flyweight/Light flyweight,1.63 m (5 ft 4 in)[1],,Orthodox,31,29,9,2,,,F,163 ,,Nicaragua,Nicaraguan,Virgo,light flyweight
29,Louisa Hawton,1985-03-09,"Fremantle, Australia",Atomweight/Light flyweight,5 ft 0 in (152 cm),62 in (157 cm),Orthodox,12,10,5,2,,,F,152 ,157,Australia,Australian,Pisces,light flyweight
30,Tenkai Tsunami,1984-08-13,"Uruma, Okinawa Prefecture, Japan",Light-flyweight/Flyweight/Super-flyweight/Bantamweight,5 ft 2 in (157 cm),,Orthodox,42,31,19,13,1,,F,157 ,,Japan,Japanese,Leo,light flyweight
31,Susi Kentikian,1987-09-11,"Yerevan, Armenian SSR, Soviet Union (now Armenia)",Flyweight,1.55 m (5 ft 1 in),,Orthodox,39,36,17,2,,1,F,155 ,,Armenia,Armenian,Virgo,flyweight
32,Kenia Enriquez,1993-10-21,"Tijuana, Baja California, Mexico",Light flyweight/Flyweight,5 ft 3 in (160 cm),,Orthodox,24,23,9,1,,,F,160 ,,Mexico,Mexican,Libra,light flyweight
33,Monserrat Alarcón,1994-03-07,,Atomweight/Mini-flyweight/Light-flyweight/Flyweight,,,Orthodox,26,19,0,5,2,,F,,,,,Pisces,light flyweight
34,Nicola Adams,1982-10-26,"Leeds, West Yorkshire, England",Flyweight,5 ft 4.5 in (164 cm)[1],,,6,5,3,0,1,,F,164 ,,England,British,Scorpio,flyweight
35,Gabriela Celeste Alaniz,1996-06-28,"Buenos Aires, Argentina",Flyweight,,,,15,14,6,1,,,F,,,Argentina,Argentine,Cancer,flyweight
36,Daniela Romina Bermúdez,1989-07-07,"Villa Gobernador Gálvez, Santa Fe Province, Argentina",Light flyweight/Flyweight/Super flyweight/Bantamweight/Super bantamweight/Featherweight,5 ft 5 in (165 cm),67 in (170 cm),Orthodox,36,29,10,4,3,,F,165 ,170,Argentina,Argentine,Cancer,light flyweight
37,Tomoko Okuda,1995-11-28,"Kakamigahara, Gifu, Japan",Super-flyweight/Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,14,7,1,5,2,,F,166 ,,Japan,Japanese,Sagittarius,super flyweight
38,Mizuki Hiruta,1996-04-12,"Okayama, Japan",Flyweight/Super-flyweight,5 ft 4 in (163 cm),,Southpaw,6,6,2,0,,,F,163 ,,Japan,Japanese,Aries,flyweight
39,Sabrina Maribel Pérez,1986-11-14,"Isidro Casanova, Argentina[1]",Bantamweight/Featherweight,5 ft 2 in (157 cm),,Orthodox,21,18,2,2,1,,F,157 ,,Argentina,Argentine,Scorpio,bantamweight
40,Ana Julaton,1983-11-28,,Super Bantamweight/Flyweight,5 ft 5 in (165 cm),,,,2,,4,3,,F,165 ,,,,Sagittarius,flyweight
41,Marcela Acuña,1976-10-16,"Formosa, Argentina",Super Bantamweight/Featherweight/Light welterweight,5 ft 4+1⁄2 in (164 cm),,Orthodox,62,51,20,9,2,,F,164 ,,Argentina,Argentine,Libra,super bantamweight
42,Jeannine Garside,1978-04-14,"Duncan, British Columbia, Canada",Super bantamweight/Featherweight/Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),,Southpaw,14,10,4,3,,,F,166 ,,Canada,Canadian,Aries,super bantamweight
43,Alejandra Oliveras,1978-03-20,"El Carmen, Jujuy, Argentina",Super bantamweight/Featherweight/Lightweight/Light welterweight,5 ft 1 in (155 cm),,Orthodox,38,33,16,3,2,0,F,155 ,,Argentina,Argentine,Pisces,super bantamweight
44,Cindy Serrano,1982-05-08,Puerto Rico,Featherweight/Super featherweight/Lightweight/Welterweight,5 ft 6 in (168 cm),,Orthodox,36,27,10,6,3,,F,168 ,,Puerto Rico,American(Puerto Rican),Taurus,featherweight
45,Ewa Brodnicka,1984-06-07,"Nowy Dwór Mazowiecki, Poland",Super-featherweight/Lightweight/Light-welterweight,173 cm (5 ft 8 in),179 cm (70 in),Orthodox,21,20,2,1,,,F,173 ,177.8,Poland,Polish,Gemini,super featherweight
46,Erin McGowan,1981-02-09,"Perth, Western Australia",Lightweight,,,Orthodox,19,17,9,2,,,F,,,Australia,Australian,Aquarius,lightweight
47,Rose Volante,1982-08-12,"São Paulo, Brazil",Lightweight,5 ft 5.5 in (166 cm),67.5 in (171 cm),Orthodox,16,15,8,1,,,F,166 ,171,Brazil,Brazilian,Leo,lightweight
48,Christina Linardatou,1988-03-04,"Santiago de los Caballeros, Dominican Republic",Super-featherweight/Lightweight/Light-welterweight,1.63 m (5 ft 4 in)[1],,Orthodox,16,14,6,3,,,F,163 ,,Dominican Republic,Dominican,Pisces,super featherweight
49,Hanna Gabriels,1983-01-14,"Alajuela, Costa Rica",,5 ft 6 in (168 cm),68 in (173 cm),Orthodox,24,21,12,2,1,,F,168 ,173,Costa Rica,Costa Rican,Capricorn,
50,Sandy Ryan,1993-09-16,"Derby, England",Light-welterweight/Welterweight,5 ft 9+1⁄2 in (177 cm),,Orthodox,8,6,2,1,1,,F,177 ,,England,British,Virgo,welterweight
51,Natasha Jonas,1984-06-18,"Liverpool, England",Super-featherweight/Lightweight/Light-middleweight,5 ft 8 in (173 cm) [1],,Southpaw,18,15,9,2,1,,F,173 ,,England,British,Gemini,super featherweight
52,Femke Hermans,1990-02-05,"Dendermonde, Belgium",Super-welterweight/Middleweight/Super-middleweight,5 ft 8 in (173 cm),,Orthodox,21,17,7,4,,,F,173 ,,Belgium,Belgian,Aquarius,super welterweight
53,Geovana Peres,1977-02-08,,,168 cm (5 ft 6 in),169 cm (66.5 in),,,3,,0,0,,F,168 ,168.9,,,Aquarius,
54,Chirawadee Srisuk,1983-08-28,"Phitsanulok province, Thailand",Atomweight,5 ft 5 in (165 cm),,Orthodox,10,6,1,3,1,,F,165 ,,Thailand,Thai,Virgo,
55,Momo Koseki,1982-07-31,"Tokyo, Japan",Atomweight/Mini-flyweight,5 ft 4 in (163 cm),64 in (163 cm),Southpaw,27,24,9,2,1,,F,163 ,163,Japan,Japanese,Leo,
56,Fabiana Bytyqi,1995-12-30,"Ústí nad Labem, Czech Republic",Atomweight/Minimumweight,1.64 m (5 ft 5 in),,Orthodox,23,20,5,1,2,,F,164 ,,Czech Republic,Czech,Aquarius,minimumweight
57,Tina Rupprecht,1992-08-23,"Augsburg, Germany",Atomweight/Mini-flyweight,1.53 m (5 ft 0 in),,Orthodox,15,13,3,1,1,,F,153 ,,Germany,German,Virgo,
58,Anabel Ortiz,1986-07-05,"Tepic, Mexico",Mini flyweight/Light flyweight,5 ft 0 in (152 cm),62+1⁄2 in (159 cm),Orthodox,39,33,4,6,,,F,152 ,159,Mexico,Mexican,Cancer,light flyweight
59,Siriporn Thaweesuk,1983-04-26,"Lopburi province, Thailand",Light flyweight/Strawweight/Flyweight,5 ft 2 in (157 cm),,Orthodox,48,43,25,5,,,F,157 ,,Thailand,Thai,Taurus,light flyweight
60,Yesenia Gómez,1996-01-21,"Cancún, Quintana Roo, Mexico",Mini flyweight/Light flyweight/Flyweight,,,Orthodox,31,20,6,6,4,1,F,,,Mexico,Mexican,Aquarius,light flyweight
61,Mariana Juárez,1980-01-29,"Santa Urusula, Tlaxcala, Mexico[2]",Flyweight/Super flyweight/Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,72,55,19,13,4,,F,166 ,,Mexico,Mexican,Aquarius,flyweight
62,Renáta Szebelédi,1993-08-02,"Budapest, Hungary",Flyweight/Super-flyweight/Bantamweight/Super-bantamweight/Featherweight,162 cm (5 ft 4 in),,Southpaw,26,16,10,10,,,F,162 ,,Hungary,Hungarian,Leo,flyweight
63,Jessica Chávez,1988-07-15,"Mexico City, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),62+1⁄2 in (159 cm),Orthodox,38,30,4,5,3,,F,157 ,159,Mexico,Mexican,Cancer,light flyweight
64,Ana María Torres,1980-01-25,"Nezahualcóyotl, México, Mexico[3]",Super flyweight/Bantamweight,5 ft 4 in (163 cm)[1],,Orthodox,34,28,16,3,3,,F,163 ,,Mexico,Mexican,Aquarius,super flyweight
65,Zulina Muñoz,1987-08-10,"Chicoloapan de Juárez, Mexico",Super flyweight/Bantamweight,5 ft 3 in (160 cm),62 in (157 cm),Orthodox,60,53,30,5,2,,F,160 ,157,Mexico,Mexican,Leo,super flyweight
66,Guadalupe Martínez Guzmán,1992-04-05,"Tlalnepantla, State of Mexico, Mexico",Light flyweight/Flyweight/Super flyweight,,,Orthodox,30,20,6,10,,,F,,,Mexico,Mexican,Aries,light flyweight
67,Usanakorn Thawilsuhannawang,1987-12-31,"Nakhon Ratchasima province, Thailand",Bantamweight/Super flyweight,5 ft 7 in (170 cm),69 in (175 cm),Southpaw,23,19,18,4,,,F,170 ,175,Thailand,Thai,Aquarius,super flyweight
68,Yazmín Rivas,,,Flyweight/Super flyweight/Bantamweight/Super bantamweight,5 ft 4 in (163 cm),65 in (165 cm),Orthodox,55,40,11,10,1,4,F,163 ,165,,,Sagittarius,flyweight
69,Yulihan Luna,1994-02-21,"Gómez Palacio, Durango, Mexico",Bantamweight/Super bantamweight,5 ft 0 in (152 cm),71 in (180 cm),Orthodox,25,21,3,3,1,,F,152 ,180,Mexico,Mexican,Pisces,bantamweight
70,Alicia Ashley,1967-08-23,Jamaica,Super Bantamweight,5 ft 4.5 in (163.8 cm)[1],,Southpaw,37,24,4,12,1,,F,164,,Jamaica,Jamaican,Virgo,super bantamweight
71,Fatuma Zarika,1985-03-13,"Nairobi, Kenya",Bantamweight/Super-bantamweight/Featherweight/Super-featherweight,163 cm (5 ft 4 in),168 cm (66 in),Orthodox,49,34,18,13,2,,F,163 ,167.6,Kenya,Kenyan,Pisces,bantamweight
72,Sharon Anyos,1970-10-13,,featherweight,164 cm (5 ft 5 in),169 cm (66.5 in),,,7,,1,2,,F,164 ,168.9,,,Libra,featherweight
73,Melissa Hernández,1980-02-04,"Mayaguez, Puerto Rico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 2 in (157 cm),,Orthodox,34,23,7,8,3,,F,157 ,,Puerto Rico,American(Puerto Rican),Aquarius,super bantamweight
74,Diana Prazak,1979-07-20,"Melbourne, Australia",Super-featherweight/Lightweight/Light-welterweight,5 ft 5 in (165 cm),,Orthodox,18,14,9,4,,,F,165 ,,Australia,Australian,Cancer,super featherweight
75,Jessica Rakoczy,1977-04-14,,Lightweight/Super bantamweight/Bantamweight/Flyweight/Strawweight,5 ft 8 in (173 cm),68.0 in (173 cm)[1],Orthodox,,1,,5,,,F,173 ,173,,,Aries,flyweight
76,Delfine Persoon,1985-01-14,"Hooglede, West Flanders, Belgium",Super-featherweight/Lightweight,175 cm (5 ft 9 in),,Orthodox,52,48,19,3,,1,F,175 ,,Belgium,Belgian,Capricorn,super featherweight
77,Mary Jo Sanders,1974-01-13,"Detroit, Michigan, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 7 in (170 cm),,Orthodox,27,25,8,1,1,,F,170 ,,USA,American,Capricorn,welterweight
78,Anne Sophie Mathis,1977-07-23,"Nancy, France",Light-welterweight/Welterweight/Light-middleweight,5 ft 11 in (180 cm),,Orthodox,32,27,23,4,1,1,F,180 ,,France,French,Leo,welterweight
79,Holly Holm,1981-10-17,,Bantamweight/Featherweight/Light Welterweight/Welterweight/Light Middleweight,5 ft 8 in (173 cm),70 in (178 cm)[1],,,15,,6,7,,F,173 ,178,,,Libra,bantamweight
80,Wang Ya Nan,1984-10-29,China,Middleweight,1.75 m (5 ft 9 in)[1],,Orthodox,8,8,3,0,0,0,F,175 ,,China,Chinese,Scorpio,middleweight
81,Tori Nelson,1976-08-26,"South Hill, Virginia, U.S.",Welterweight/Light middleweight/Middleweight/Super middleweight,5 ft 6 in (168 cm),64 in (163 cm),Orthodox,25,20,4,2,3,,F,168 ,163,USA,American,Virgo,welterweight
82,Nikki Adler,1987-04-02,"Augsburg, West Germany",Middleweight,173 cm (5 ft 8 in),,Orthodox,18,16,9,2,,,F,173 ,,Germany,German,Aries,middleweight
83,Franchon Crews Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",Super middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9,2,2,,1,F,173 ,183,USA,American,Gemini,super middleweight
84,Martha Salazar,1970-02-02,,Heavyweight,5 ft 9 in (1.75 m),70.0 in (178 cm),,,0,,1,,,F,175 ,178,,,Aquarius,heavyweight
85,Vaia Zaganas,1975-05-22,"Burnaby, British Columbia",Minimumweight/[1],5 ft 0.5 in (154 cm)[1],61 in (155 cm)[1],Orthodox,19,16,6,3,0,0,F,154 ,155,Canada,Canadian,Gemini,minimumweight
86,Yésica Bopp,1984-04-11,"Wilde, Buenos Aires, Argentina",Light-flyweight/Flyweight,5 ft 0 in (152 cm),,Orthodox,40,37,17,3,,,F,152 ,,Argentina,Argentine,Aries,light flyweight
87,Linda Laura Lecca,1988-07-13,"Trujillo, Peru",Super flyweight/Super bantamweight,,,Orthodox,22,13,3,4,2,3,F,,,Peru,Peruvian,Cancer,super flyweight
88,Maribel Ramírez,1986-06-28,,Light flyweight/Flyweight/Super flyweight/Bantamweight,,,,24,13,3,9,2,,F,,,,,Cancer,light flyweight
89,Mayerlin Rivas,1987-12-05,,,165 cm (5 ft 5 in)[1],,,,2,,1,2,,F,165 ,,,,Capricorn,
90,Shannon Courtenay,1993-07-03,"Abbots Langley, Hertfordshire, England[3]",Bantamweight/Super-bantamweight,,,Orthodox,9,7,3,2,,,F,,,England,British,Cancer,bantamweight
91,Nina Hughes,,,Bantamweight/Super bantamweight,4 ft 11 in (150 cm)[1],,Orthodox,6,6,2,,,,F,150 ,,,,Sagittarius,bantamweight
92,Chanttall Martínez,1990-12-28,"David, Chiriquí, Panama",Super-bantamweight/Featherweight,,,Orthodox,27,19,8,8,,,F,,,Panama,Panamanian,Aquarius,super bantamweight
93,Erika Cruz,1990-05-03,"Mexico City, Mexico",Featherweight,168 cm (5 ft 6 in),163 cm (64 in),Southpaw,19,17,3,2,,,F,168 ,162.6,Mexico,Mexican,Taurus,featherweight
94,Ogleidis Suárez,,,Super bantamweight/Featherweight/Super featherweight/Welterweight/Light middleweight,,,Orthodox,36,30,14,5,1,,F,,,,,Sagittarius,super bantamweight
95,Kina Malpartida,1980-03-25,"Lima, Peru",Super Featherweight,165 cm (5 ft 5 in)[1],,,17,14,4,3,0,0,F,165 ,,Peru,Peruvian,Aries,super featherweight
96,Layla McCarter,1979-04-19,,Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 4 in (163 cm),65+1⁄2 in (166 cm),,,44,,1,5,,F,163 ,166,,,Aries,featherweight
97,Cecilia Comunales,1988-12-04,"Paysandú, Uruguay",lightweight,5 ft 9 in (1.75 m),,Orthodox,15,14,9,1,0,,F,175 ,,Uruguay,Uruguayan,Capricorn,lightweight
98,Anahí Ester Sánchez,1991-07-21,"Pergamino, Argentina",Featherweight/Super-featherweight/Lightweight/Light-welterweight,,,Orthodox,27,21,13,6,,,F,,,Argentina,Argentine,Cancer,featherweight
99,Myriam Lamare,1975-01-01,,Featherweight,5 ft 6 in (1.68 m),70.0 in (178 cm),,,1,,0,,,F,168 ,178,,,Capricorn,featherweight
100,Teresa Perozzi,1973-12-31,"New Hampshire, United States[2]",Middleweight/Super-middleweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Southpaw,17,9,1,5,3,,F,169 ,173,USA,American,Aquarius,middleweight
101,Elin Cederroos,1985-01-16,Sweden,Super-middleweight,5 ft 10+1⁄2 in (179 cm),70 in (178 cm),,10,8,4,2,,,F,179 ,178,Sweden,Swedish,Capricorn,super middleweight
102,Saemi Hanagata,1984-10-28,"Yokohama, Kanagawa Prefecture, Japan",Atomweight/Mini-flyweight/Light-flyweight,,,Orthodox,28,16,7,7,5,,F,,,Japan,Japanese,Scorpio,light flyweight
103,Ayaka Miyao,1983-08-29,"Chikuma, Nagano, Japan[1]",Atomweight/Mini-flyweight/Light-flyweight,5 ft 0+1⁄2 in (154 cm)[1],59+1⁄2 in (151 cm)[1],Orthodox,36,25,6,10,2,,F,154 ,151,Japan,Japanese,Virgo,light flyweight
104,Katia Gutiérrez,1989-04-29,"Los Mochis, Sinaloa, Mexico",Mini flyweight/Light flyweight,,,Orthodox,31,23,6,8,,,F,,,Mexico,Mexican,Taurus,light flyweight
105,Joana Pastrana,1990-09-29,"Madrid, Spain",Mini-flyweight,1.61 m (5 ft 3 in)[1],,,20,17,5,3,,,F,161 ,,Spain,Spanish,Libra,
106,Irma Sánchez,1987-12-06,"Guadalajara, Jalisco, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),65 in (165 cm),Orthodox,39,30,8,8,1,,F,157 ,165,Mexico,Mexican,Capricorn,light flyweight
107,Guadalupe Bautista,1988-04-19,"Mexico City, Mexico",Light flyweight/Flyweight,,,,30,17,3,11,2,,F,,,Mexico,Mexican,Aries,light flyweight
108,Evelyn Nazarena Bermúdez,1996-04-01,"Villa Gobernador Gálvez, Santa Fe, Argentina",Light flyweight/Super flyweight,,,Orthodox,20,18,6,1,1,,F,,,Argentina,Argentine,Aries,light flyweight
109,Ava Knight,1988-08-15,,Light flyweight/Flyweight/Super flyweight/Bantamweight,5 ft 4 in (163 cm),70.0 in (178 cm),,,1,,1,5,,F,163 ,178,,,Leo,light flyweight
110,Leonela Paola Yúdica,1988-09-18,"Santa Lucía, San Juan, Argentina",Flyweight,,,,20,16,0,0,3,1,F,,,Argentina,Argentine,Virgo,flyweight
111,Débora Dionicius,1988-03-19,"Villaguay, Argentina[1]",Super flyweight/Bantamweight/Featherweight,5 ft 4 in (163 cm)[1],,Orthodox,39,35,6,4,,,F,163 ,,Argentina,Argentine,Pisces,super flyweight
112,Jorgelina Guanini,1992-05-31,"Necochea, Buenos Aires, Argentina",Super flyweight/Bantamweight/Super bantamweight,5 ft 2+1⁄2 in (159 cm),,Orthodox,13,9,1,2,2,,F,159 ,,Argentina,Argentine,Gemini,super flyweight
113,Micaela Luján,,,Super flyweight,,,Orthodox,11,9,3,1,1,,F,,,,,Sagittarius,super flyweight
114,Carolina Rodríguez,1986-05-24,,,,,,,,,,,,F,,,,,Gemini,
115,María Cecilia Román,1983-01-21,"Villa Mallea, San Juan, Argentina",Bantamweight,,,Orthodox,27,17,0,8,1,1,F,,,Argentina,Argentine,Aquarius,bantamweight
116,Ebanie Bridges,1986-09-22,"Sydney, Australia",Bantamweight/Super-bantamweight,155 cm (5 ft 1 in),,,11,9,4,2,,,F,155 ,,Australia,Australian,Virgo,bantamweight
117,Ada Vélez,1969-09-15,Puerto Rico,Bantamweight,,,Southpaw,28,20,6,5,3,0,F,,,Puerto Rico,American(Puerto Rican),Virgo,bantamweight
118,Ellie Scotney,1998-03-16,"Lewisham, London, England",Featherweight,1.64 m (5 ft 5 in),,Orthodox,8,8,0,0,,,F,164 ,,England,British,Pisces,featherweight
119,Stacey Reile,,,Featherweight,5 ft 4 in (1.63 m),,Orthodox,14,10,1,4,,,F,163 ,,,,Sagittarius,featherweight
120,Jennifer Han,1983-06-25,"El Paso, Texas, U.S.",Featherweight/Super featherweight/Lightweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,26,18,1,5,1,3,F,168 ,168,USA,American,Cancer,featherweight
121,Sarah Mahfoud,1989-09-29,"Tórshavn, Faroe Islands[2]",Featherweight,,,Orthodox,12,11,3,1,,,F,,,Faroe Islands,Faroese,Libra,featherweight
122,Maiva Hamadouche,1989-11-04,"Albi, France",,1.62 m (5 ft 4 in),1.63 m (64 in),,24,22,18,2,,,F,162 ,162.6,France,French,Scorpio,
123,Daniella Smith,1972-07-30,,,,,Orthodox,,34,,6,,,F,,,,,Leo,
124,Chris Namús,1987-10-03,"Montevideo, Uruguay",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,32,25,8,6,,1,F,174 ,,Uruguay,Uruguayan,Libra,welterweight
125,Marie Eve Dicaire,1986-07-29,"Saint-Eustache, Quebec, Canada",Welterweight/Light middleweight,,,Southpaw,20,18,1,2,,,F,,,Canada,Canadian,Leo,welterweight
126,Pinklon Thomas,1958-02-10,"Pontiac, Michigan, U.S.",Heavyweight,6 ft 3 in (191 cm),77 in (196 cm),Orthodox,51,43,34,7,1,,M,191 ,196,USA,American,Aquarius,heavyweight
127,Lionel Butler,1967-07-25,"Bogalusa, Louisiana, U.S.",Heavyweight,5 ft 11 in (180 cm),72 in (183 cm),Orthodox,51,32,25,17,1,1,M,180 ,183,USA,American,Leo,heavyweight
128,Danell Nicholson,1967-11-15,"Chicago, Illinois, U.S.",Heavyweight,6 ft 4 in (1.93 m),80 in (203 cm),Orthodox,47,42,32,5,0,,M,193 ,203,USA,American,Scorpio,heavyweight
129,Jimmy Thunder,1966-02-03,"Apia, Samoa",Heavyweight,188 cm (6 ft 2 in),196 cm (77 in),Orthodox,49,35,28,14,,,M,188 ,195.6,Samoa,Samoan,Aquarius,heavyweight
130,Hasim Rahman,1972-11-07,"Baltimore, Maryland, U.S.",Heavyweight,6 ft 2+1⁄2 in (189 cm),82 in (208 cm),Orthodox,62,50,41,9,2,1,M,189 ,208,USA,American,Scorpio,heavyweight
131,Wladimir Klitschko,1976-03-25,"Semipalatinsk, Kazakh SSR, Soviet Union",Heavyweight,1.98 m (6 ft 6 in)[1],206 cm (81 in)[2],Orthodox,69,64,53,5,,,M,198 ,205.7,Ukraine,Ukrainian,Aries,heavyweight
