,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country
27,Kasumi Saeki,1996-07-16,"Konohana-ku, Osaka, Japan",Light flyweight,1.54 m (5 ft 1 in)[1],,Orthodox,4,4,3,,,,F,154 ,,Japan
28,Yokasta Valle,1992-08-28,"Matagalpa, Nicaragua",Atomweight/Mini flyweight/Light flyweight,1.63 m (5 ft 4 in)[1],,Orthodox,31,29,9,2,,,F,163 ,,Nicaragua
29,Louisa Hawton,1985-03-09,"Fremantle, Australia",Atomweight/Light flyweight,5 ft 0 in (152 cm),62 in (157 cm),Orthodox,12,10,5,2,,,F,152 ,157 ,Australia
30,Tenkai Tsunami,1984-08-13,"Uruma, Okinawa Prefecture, Japan",Light-flyweight/Flyweight/Super-flyweight/Bantamweight,5 ft 2 in (157 cm),,Orthodox,42,31,19,13,1,,F,157 ,,Japan
31,Susi Kentikian,1987-09-11,"Yerevan, Armenian SSR, Soviet Union (now Armenia)",Flyweight,1.55 m (5 ft 1 in),,Orthodox,39,36,17,2,,1,F,155 ,,Armenia
32,Kenia Enriquez,1993-10-21,"Tijuana, Baja California, Mexico",Light flyweight/Flyweight,5 ft 3 in (160 cm),,Orthodox,24,23,9,1,,,F,160 ,,Mexico
33,Monserrat Alarcón,1994-03-07,,Atomweight/Mini-flyweight/Light-flyweight/Flyweight,,,Orthodox,26,19,0,5,2,,F,,,unknown
34,Nicola Adams,1982-10-26,"Leeds, West Yorkshire, England",Flyweight,5 ft 4.5 in (164 cm)[1],,,6,5,3,0,1,,F,164 ,,England
35,Gabriela Celeste Alaniz,1996-06-28,"Buenos Aires, Argentina",Flyweight,,,,15,14,6,1,,,F,,,Argentina
36,Daniela Romina Bermúdez,1989-07-07,"Villa Gobernador Gálvez, Santa Fe Province, Argentina",Light flyweight/Flyweight/Super flyweight/Bantamweight/Super bantamweight/Featherweight,5 ft 5 in (165 cm),67 in (170 cm),Orthodox,36,29,10,4,3,,F,165 ,170 ,Argentina
37,Tomoko Okuda,1995-11-28,"Kakamigahara, Gifu, Japan",Super-flyweight/Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,14,7,1,5,2,,F,166 ,,Japan
38,Mizuki Hiruta,1996-04-12,"Okayama, Japan",Flyweight/Super-flyweight,5 ft 4 in (163 cm),,Southpaw,6,6,2,0,,,F,163 ,,Japan
39,Sabrina Maribel Pérez,1986-11-14,"Isidro Casanova, Argentina[1]",Bantamweight/Featherweight,5 ft 2 in (157 cm),,Orthodox,21,18,2,2,1,,F,157 ,,Argentina
40,Ana Julaton,1983-11-28,,Super Bantamweight/Flyweight,5 ft 5 in (165 cm),,,,2,,4,3,,F,165 ,,unknown
41,Marcela Acuña,1976-10-16,"Formosa, Argentina",Super Bantamweight/Featherweight/Light welterweight,5 ft 4+1⁄2 in (164 cm),,Orthodox,62,51,20,9,2,,F,164 ,,Argentina
42,Jeannine Garside,1978-04-14,"Duncan, British Columbia, Canada",Super bantamweight/Featherweight/Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),,Southpaw,14,10,4,3,,,F,166 ,,Canada
43,Alejandra Oliveras,1978-03-20,"El Carmen, Jujuy, Argentina",Super bantamweight/Featherweight/Lightweight/Light welterweight,5 ft 1 in (155 cm),,Orthodox,38,33,16,3,2,0,F,155 ,,Argentina
44,Cindy Serrano,1982-05-08,Puerto Rico,Featherweight/Super featherweight/Lightweight/Welterweight,5 ft 6 in (168 cm),,Orthodox,36,27,10,6,3,,F,168 ,,Puerto Rico
45,Ewa Brodnicka,1984-06-07,"Nowy Dwór Mazowiecki, Poland",Super-featherweight/Lightweight/Light-welterweight,173 cm (5 ft 8 in),179 cm (70 in),Orthodox,21,20,2,1,,,F,173 ,70 in,Poland
46,Erin McGowan,1981-02-09,"Perth, Western Australia",Lightweight,,,Orthodox,19,17,9,2,,,F,,,Australia
47,Rose Volante,1982-08-12,"São Paulo, Brazil",Lightweight,5 ft 5.5 in (166 cm),67.5 in (171 cm),Orthodox,16,15,8,1,,,F,166 ,171 ,Brazil
48,Christina Linardatou,1988-03-04,"Santiago de los Caballeros, Dominican Republic",Super-featherweight/Lightweight/Light-welterweight,1.63 m (5 ft 4 in)[1],,Orthodox,16,14,6,3,,,F,163 ,,Dominican Republic
49,Hanna Gabriels,1983-01-14,"Alajuela, Costa Rica",,5 ft 6 in (168 cm),68 in (173 cm),Orthodox,24,21,12,2,1,,F,168 ,173 ,Costa Rica
50,Sandy Ryan,1993-09-16,"Derby, England",Light-welterweight/Welterweight,5 ft 9+1⁄2 in (177 cm),,Orthodox,8,6,2,1,1,,F,177 ,,England
51,Natasha Jonas,1984-06-18,"Liverpool, England",Super-featherweight/Lightweight/Light-middleweight,5 ft 8 in (173 cm) [1],,Southpaw,18,15,9,2,1,,F,173 ,,England
52,Femke Hermans,1990-02-05,"Dendermonde, Belgium",Super-welterweight/Middleweight/Super-middleweight,5 ft 8 in (173 cm),,Orthodox,21,17,7,4,,,F,173 ,,Belgium
53,Geovana Peres,1977-02-08,,,168 cm (5 ft 6 in),169 cm (66.5 in),,,3,,0,0,,F,168 ,66.5 in,unknown
54,Chirawadee Srisuk,1983-08-28,"Phitsanulok province, Thailand",Atomweight,5 ft 5 in (165 cm),,Orthodox,10,6,1,3,1,,F,165 ,,Thailand
55,Momo Koseki,1982-07-31,"Tokyo, Japan",Atomweight/Mini-flyweight,5 ft 4 in (163 cm),64 in (163 cm),Southpaw,27,24,9,2,1,,F,163 ,163 ,Japan
56,Fabiana Bytyqi,1995-12-30,"Ústí nad Labem, Czech Republic",Atomweight/Minimumweight,1.64 m (5 ft 5 in),,Orthodox,23,20,5,1,2,,F,164 ,,Czech Republic
57,Tina Rupprecht,1992-08-23,"Augsburg, Germany",Atomweight/Mini-flyweight,1.53 m (5 ft 0 in),,Orthodox,15,13,3,1,1,,F,153 ,,Germany
58,Anabel Ortiz,1986-07-05,"Tepic, Mexico",Mini flyweight/Light flyweight,5 ft 0 in (152 cm),62+1⁄2 in (159 cm),Orthodox,39,33,4,6,,,F,152 ,159 ,Mexico
59,Siriporn Thaweesuk,1983-04-26,"Lopburi province, Thailand",Light flyweight/Strawweight/Flyweight,5 ft 2 in (157 cm),,Orthodox,48,43,25,5,,,F,157 ,,Thailand
60,Yesenia Gómez,1996-01-21,"Cancún, Quintana Roo, Mexico",Mini flyweight/Light flyweight/Flyweight,,,Orthodox,31,20,6,6,4,1,F,,,Mexico
61,Mariana Juárez,1980-01-29,"Santa Urusula, Tlaxcala, Mexico[2]",Flyweight/Super flyweight/Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,72,55,19,13,4,,F,166 ,,Mexico
62,Renáta Szebelédi,1993-08-02,"Budapest, Hungary",Flyweight/Super-flyweight/Bantamweight/Super-bantamweight/Featherweight,162 cm (5 ft 4 in),,Southpaw,26,16,10,10,,,F,162 ,,Hungary
63,Jessica Chávez,1988-07-15,"Mexico City, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),62+1⁄2 in (159 cm),Orthodox,38,30,4,5,3,,F,157 ,159 ,Mexico
64,Ana María Torres,1980-01-25,"Nezahualcóyotl, México, Mexico[3]",Super flyweight/Bantamweight,5 ft 4 in (163 cm)[1],,Orthodox,34,28,16,3,3,,F,163 ,,Mexico
65,Zulina Muñoz,1987-08-10,"Chicoloapan de Juárez, Mexico",Super flyweight/Bantamweight,5 ft 3 in (160 cm),62 in (157 cm),Orthodox,60,53,30,5,2,,F,160 ,157 ,Mexico
66,Guadalupe Martínez Guzmán,1992-04-05,"Tlalnepantla, State of Mexico, Mexico",Light flyweight/Flyweight/Super flyweight,,,Orthodox,30,20,6,10,,,F,,,Mexico
67,Usanakorn Thawilsuhannawang,1987-12-31,"Nakhon Ratchasima province, Thailand",Bantamweight/Super flyweight,5 ft 7 in (170 cm),69 in (175 cm),Southpaw,23,19,18,4,,,F,170 ,175 ,Thailand
68,Yazmín Rivas,,,Flyweight/Super flyweight/Bantamweight/Super bantamweight,5 ft 4 in (163 cm),65 in (165 cm),Orthodox,55,40,11,10,1,4,F,163 ,165 ,unknown
69,Yulihan Luna,1994-02-21,"Gómez Palacio, Durango, Mexico",Bantamweight/Super bantamweight,5 ft 0 in (152 cm),71 in (180 cm),Orthodox,25,21,3,3,1,,F,152 ,180 ,Mexico
70,Alicia Ashley,1967-08-23,Jamaica,Super Bantamweight,5 ft 4.5 in (163.8 cm)[1],,Southpaw,37,24,4,12,1,,F,1638 ,,Jamaica
71,Fatuma Zarika,1985-03-13,"Nairobi, Kenya",Bantamweight/Super-bantamweight/Featherweight/Super-featherweight,163 cm (5 ft 4 in),168 cm (66 in),Orthodox,49,34,18,13,2,,F,163 ,66 in,Kenya
72,Sharon Anyos,1970-10-13,,featherweight,164 cm (5 ft 5 in),169 cm (66.5 in),,,7,,1,2,,F,164 ,66.5 in,unknown
73,Melissa Hernández,1980-02-04,"Mayaguez, Puerto Rico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 2 in (157 cm),,Orthodox,34,23,7,8,3,,F,157 ,,Puerto Rico
74,Diana Prazak,1979-07-20,"Melbourne, Australia",Super-featherweight/Lightweight/Light-welterweight,5 ft 5 in (165 cm),,Orthodox,18,14,9,4,,,F,165 ,,Australia
75,Jessica Rakoczy,1977-04-14,,Lightweight/Super bantamweight/Bantamweight/Flyweight/Strawweight,5 ft 8 in (173 cm),68.0 in (173 cm)[1],Orthodox,,1,,5,,,F,173 ,173 ,unknown
76,Delfine Persoon,1985-01-14,"Hooglede, West Flanders, Belgium",Super-featherweight/Lightweight,175 cm (5 ft 9 in),,Orthodox,52,48,19,3,,1,F,175 ,,Belgium
77,Mary Jo Sanders,1974-01-13,"Detroit, Michigan, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 7 in (170 cm),,Orthodox,27,25,8,1,1,,F,170 ,,USA
78,Anne Sophie Mathis,1977-07-23,"Nancy, France",Light-welterweight/Welterweight/Light-middleweight,5 ft 11 in (180 cm),,Orthodox,32,27,23,4,1,1,F,180 ,,France
79,Holly Holm,1981-10-17,,Bantamweight/Featherweight/Light Welterweight/Welterweight/Light Middleweight,5 ft 8 in (173 cm),70 in (178 cm)[1],,,15,,6,7,,F,173 ,178 ,unknown
80,Wang Ya Nan,1984-10-29,China,Middleweight,1.75 m (5 ft 9 in)[1],,Orthodox,8,8,3,0,0,0,F,175 ,,China
81,Tori Nelson,1976-08-26,"South Hill, Virginia, U.S.",Welterweight/Light middleweight/Middleweight/Super middleweight,5 ft 6 in (168 cm),64 in (163 cm),Orthodox,25,20,4,2,3,,F,168 ,163 ,USA
82,Nikki Adler,1987-04-02,"Augsburg, West Germany",Middleweight,173 cm (5 ft 8 in),,Orthodox,18,16,9,2,,,F,173 ,,Germany
83,Franchon Crews Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",Super middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9,2,2,,1,F,173 ,183 ,USA
84,Martha Salazar,1970-02-02,,Heavyweight,5 ft 9 in (1.75 m),70.0 in (178 cm),,,0,,1,,,F,175 ,178 ,unknown
85,Vaia Zaganas,1975-05-22,"Burnaby, British Columbia",Minimumweight/[1],5 ft 0.5 in (154 cm)[1],61 in (155 cm)[1],Orthodox,19,16,6,3,0,0,F,154 ,155 ,Canada
86,Yésica Bopp,1984-04-11,"Wilde, Buenos Aires, Argentina",Light-flyweight/Flyweight,5 ft 0 in (152 cm),,Orthodox,40,37,17,3,,,F,152 ,,Argentina
87,Linda Laura Lecca,1988-07-13,"Trujillo, Peru",Super flyweight/Super bantamweight,,,Orthodox,22,13,3,4,2,3,F,,,Peru
88,Maribel Ramírez,1986-06-28,,Light flyweight/Flyweight/Super flyweight/Bantamweight,,,,24,13,3,9,2,,F,,,unknown
89,Mayerlin Rivas,1987-12-05,,,165 cm (5 ft 5 in)[1],,,,2,,1,2,,F,165 ,,unknown
90,Shannon Courtenay,1993-07-03,"Abbots Langley, Hertfordshire, England[3]",Bantamweight/Super-bantamweight,,,Orthodox,9,7,3,2,,,F,,,England
91,Nina Hughes,,,Bantamweight/Super bantamweight,4 ft 11 in (150 cm)[1],,Orthodox,6,6,2,,,,F,150 ,,unknown
92,Chanttall Martínez,1990-12-28,"David, Chiriquí, Panama",Super-bantamweight/Featherweight,,,Orthodox,27,19,8,8,,,F,,,Panama
93,Erika Cruz,1990-05-03,"Mexico City, Mexico",Featherweight,168 cm (5 ft 6 in),163 cm (64 in),Southpaw,19,17,3,2,,,F,168 ,64 in,Mexico
94,Ogleidis Suárez,,,Super bantamweight/Featherweight/Super featherweight/Welterweight/Light middleweight,,,Orthodox,36,30,14,5,1,,F,,,unknown
95,Kina Malpartida,1980-03-25,"Lima, Peru",Super Featherweight,165 cm (5 ft 5 in)[1],,,17,14,4,3,0,0,F,165 ,,Peru
96,Layla McCarter,1979-04-19,,Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 4 in (163 cm),65+1⁄2 in (166 cm),,,44,,1,5,,F,163 ,166 ,unknown
97,Cecilia Comunales,1988-12-04,"Paysandú, Uruguay",lightweight,5 ft 9 in (1.75 m),,Orthodox,15,14,9,1,0,,F,175 ,,Uruguay
98,Anahí Ester Sánchez,1991-07-21,"Pergamino, Argentina",Featherweight/Super-featherweight/Lightweight/Light-welterweight,,,Orthodox,27,21,13,6,,,F,,,Argentina
99,Myriam Lamare,1975-01-01,,Featherweight,5 ft 6 in (1.68 m),70.0 in (178 cm),,,1,,0,,,F,168 ,178 ,unknown
100,Teresa Perozzi,1973-12-31,"New Hampshire, United States[2]",Middleweight/Super-middleweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Southpaw,17,9,1,5,3,,F,169 ,173 ,USA
101,Elin Cederroos,1985-01-16,Sweden,Super-middleweight,5 ft 10+1⁄2 in (179 cm),70 in (178 cm),,10,8,4,2,,,F,179 ,178 ,Sweden
102,Saemi Hanagata,1984-10-28,"Yokohama, Kanagawa Prefecture, Japan",Atomweight/Mini-flyweight/Light-flyweight,,,Orthodox,28,16,7,7,5,,F,,,Japan
103,Ayaka Miyao,1983-08-29,"Chikuma, Nagano, Japan[1]",Atomweight/Mini-flyweight/Light-flyweight,5 ft 0+1⁄2 in (154 cm)[1],59+1⁄2 in (151 cm)[1],Orthodox,36,25,6,10,2,,F,154 ,151 ,Japan
104,Katia Gutiérrez,1989-04-29,"Los Mochis, Sinaloa, Mexico",Mini flyweight/Light flyweight,,,Orthodox,31,23,6,8,,,F,,,Mexico
105,Joana Pastrana,1990-09-29,"Madrid, Spain",Mini-flyweight,1.61 m (5 ft 3 in)[1],,,20,17,5,3,,,F,161 ,,Spain
106,Irma Sánchez,1987-12-06,"Guadalajara, Jalisco, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),65 in (165 cm),Orthodox,39,30,8,8,1,,F,157 ,165 ,Mexico
107,Guadalupe Bautista,1988-04-19,"Mexico City, Mexico",Light flyweight/Flyweight,,,,30,17,3,11,2,,F,,,Mexico
108,Evelyn Nazarena Bermúdez,1996-04-01,"Villa Gobernador Gálvez, Santa Fe, Argentina",Light flyweight/Super flyweight,,,Orthodox,20,18,6,1,1,,F,,,Argentina
109,Ava Knight,1988-08-15,,Light flyweight/Flyweight/Super flyweight/Bantamweight,5 ft 4 in (163 cm),70.0 in (178 cm),,,1,,1,5,,F,163 ,178 ,unknown
110,Leonela Paola Yúdica,1988-09-18,"Santa Lucía, San Juan, Argentina",Flyweight,,,,20,16,0,0,3,1,F,,,Argentina
111,Débora Dionicius,1988-03-19,"Villaguay, Argentina[1]",Super flyweight/Bantamweight/Featherweight,5 ft 4 in (163 cm)[1],,Orthodox,39,35,6,4,,,F,163 ,,Argentina
112,Jorgelina Guanini,1992-05-31,"Necochea, Buenos Aires, Argentina",Super flyweight/Bantamweight/Super bantamweight,5 ft 2+1⁄2 in (159 cm),,Orthodox,13,9,1,2,2,,F,159 ,,Argentina
113,Micaela Luján,,,Super flyweight,,,Orthodox,11,9,3,1,1,,F,,,unknown
114,Carolina Rodríguez,1986-05-24,,,,,,,,,,,,F,,,unknown
115,María Cecilia Román,1983-01-21,"Villa Mallea, San Juan, Argentina",Bantamweight,,,Orthodox,27,17,0,8,1,1,F,,,Argentina
116,Ebanie Bridges,1986-09-22,"Sydney, Australia",Bantamweight/Super-bantamweight,155 cm (5 ft 1 in),,,11,9,4,2,,,F,155 ,,Australia
117,Ada Vélez,1969-09-15,Puerto Rico,Bantamweight,,,Southpaw,28,20,6,5,3,0,F,,,Puerto Rico
118,Ellie Scotney,1998-03-16,"Lewisham, London, England",Featherweight,1.64 m (5 ft 5 in),,Orthodox,8,8,0,0,,,F,164 ,,England
119,Stacey Reile,,,Featherweight,5 ft 4 in (1.63 m),,Orthodox,14,10,1,4,,,F,163 ,,unknown
120,Jennifer Han,1983-06-25,"El Paso, Texas, U.S.",Featherweight/Super featherweight/Lightweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,26,18,1,5,1,3,F,168 ,168 ,USA
121,Sarah Mahfoud,1989-09-29,"Tórshavn, Faroe Islands[2]",Featherweight,,,Orthodox,12,11,3,1,,,F,,,Faroe Islands
122,Maiva Hamadouche,1989-11-04,"Albi, France",,1.62 m (5 ft 4 in),1.63 m (64 in),,24,22,18,2,,,F,162 ,64 in,France
123,Daniella Smith,1972-07-30,,,,,Orthodox,,34,,6,,,F,,,unknown
124,Chris Namús,1987-10-03,"Montevideo, Uruguay",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,32,25,8,6,,1,F,174 ,,Uruguay
125,Marie Eve Dicaire,1986-07-29,"Saint-Eustache, Quebec, Canada",Welterweight/Light middleweight,,,Southpaw,20,18,1,2,,,F,,,Canada
126,Pinklon Thomas,1958-02-10,"Pontiac, Michigan, U.S.",Heavyweight,6 ft 3 in (191 cm),77 in (196 cm),Orthodox,51,43,34,7,1,,M,191 ,196 ,USA
127,Lionel Butler,1967-07-25,"Bogalusa, Louisiana, U.S.",Heavyweight,5 ft 11 in (180 cm),72 in (183 cm),Orthodox,51,32,25,17,1,1,M,180 ,183 ,USA
128,Danell Nicholson,1967-11-15,"Chicago, Illinois, U.S.",Heavyweight,6 ft 4 in (1.93 m),80 in (203 cm),Orthodox,47,42,32,5,0,,M,193 ,203 ,USA
129,Jimmy Thunder,1966-02-03,"Apia, Samoa",Heavyweight,188 cm (6 ft 2 in),196 cm (77 in),Orthodox,49,35,28,14,,,M,188 ,77 in,Samoa
130,Hasim Rahman,1972-11-07,"Baltimore, Maryland, U.S.",Heavyweight,6 ft 2+1⁄2 in (189 cm),82 in (208 cm),Orthodox,62,50,41,9,2,1,M,189 ,208 ,USA
131,Wladimir Klitschko,1976-03-25,"Semipalatinsk, Kazakh SSR, Soviet Union",Heavyweight,1.98 m (6 ft 6 in)[1],206 cm (81 in)[2],Orthodox,69,64,53,5,,,M,198 ,81 in,Ukraine
132,Tyson Fury,1988-08-12,"Manchester, England",Heavyweight,6 ft 9 in (206 cm)[1],85 in (216 cm)[1],Orthodox,35,34,24,,1,,M,206 ,216 ,England
133,Anthony Joshua,1989-10-15,"Watford, England",Heavyweight,6 ft 6 in (198 cm)[1],82 in (208 cm)[1],Orthodox,30,27,24,3,,,M,198 ,208 ,England
134,Andy Ruiz Jr.,1989-09-11,"Imperial, California, U.S.[1][2][3]",Heavyweight,6 ft 2 in (188 cm)[1],74 in (188 cm)[1],Orthodox,37,35,22,2,,,M,188 ,188 ,USA
135,Oleksandr Usyk,1987-01-17,"Simferopol, Ukrainian SSR, Soviet Union",Cruiserweight/Heavyweight,6 ft 3 in (191 cm)[1],78 in (198 cm)[1],Southpaw,21,21,14,,,,M,191 ,198 ,Ukraine
136,Adolpho Washington,1967-09-07,"Lexington, Kentucky, U.S.",Light heavyweight/Cruiserweight,5 ft 11+1⁄2 in (182 cm),76 in (193 cm),Orthodox,44,31,17,10,2,1,M,182 ,193 ,USA
137,James Toney,1968-08-24,,Middleweight/Super middleweight/Light heavyweight/Cruiserweight/Heavyweight,5 ft 9 in (175 cm)[2],74 in (188 cm)[2],Orthodox,,0,,1,3,,M,175 ,188 ,unknown
138,Robert Daniels,1968-08-30,"Hialeah, Florida, USA",Cruiserweight/Super cruiserweight/Heavyweight,5 ft 11 in (180 cm),71+1⁄2 in (182 cm),Orthodox,61,49,41,10,1,1,M,180 ,182 ,USA
139,Thomas Hearns,1958-10-18,"Grand Junction, Tennessee, U.S.",Welterweight/Light middleweight/Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 1 in (185 cm)[1],78 in (198 cm)[2],Orthodox,67,61,48,5,1,,M,185 ,198 ,USA
140,Uriah Grant,1961-01-20,"Saint Andrew Parish, Jamaica",Light heavyweight/Cruiserweight,6 ft 1+1⁄2 in (187 cm),75+1⁄2 in (192 cm),Orthodox,51,30,28,21,,,M,187 ,192 ,Jamaica
141,Ezra Sellers,1968-09-02,,Cruiserweight,6 ft 1 in (185 cm),77 in (196 cm),Southpaw,37,29,26,8,,,M,185 ,196 ,unknown
142,Tomasz Adamek,1976-12-01,"Żywiec, Poland",Light heavyweight/Cruiserweight/Heavyweight,1.87 m (6 ft 2 in),191 cm (75 in),,59,53,31,6,,,M,187 ,75 in,Poland
143,Johnathon Banks,,,Heavyweight/Cruiserweight,6 ft 3 in (191 cm),76 in (193 cm),Orthodox,33,29,19,3,1,,M,191 ,193 ,unknown
144,Antonio Tarver,1968-11-21,"Orlando, Florida, U.S.",Light heavyweight/Cruiserweight/Heavyweight,6 ft 2 in (188 cm)[1],75 in (191 cm),Southpaw,39,31,22,6,1,1,M,188 ,191 ,USA
145,Ola Afolabi,1980-03-15,"London, England",Super middleweight/Light heavyweight/Cruiserweight,6 ft 3 in (191 cm),75+1⁄2 in (192 cm),Orthodox,32,22,11,6,4,,M,191 ,192 ,England
146,Rakhim Chakhkiev,1983-01-11,"Tobolsk, Russian SFSR,Soviet Union (now Russia)",Cruiserweight,1.83 m (6 ft 0 in),,Southpaw,29,26,19,3,,,M,183 ,,Russia
147,Marco Huck,1984-11-11,"Ugao, SR Serbia, SFR Yugoslavia",Cruiserweight/Heavyweight,1.88 m (6 ft 2 in),195 cm (77 in),,49,42,28,5,1,1,M,188 ,77 in,Serbia
148,Kevin Lerena,1992-05-05,"Johannesburg, South Africa",Cruiserweight/Bridgerweight/Heavyweight,6 ft 1 in (1.85 m),,Southpaw,32,30,14,2,,,M,185 ,,South Africa
