,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
54,Yokasta Valle,1992-08-28,"Matagalpa, Nicaragua",Atomweight/Mini flyweight/Light flyweight,1.63 m (5 ft 4 in)[1],,Orthodox,31,29,9,2,,
55,Yesica Bopp,,,,,,,,,,,,
56,Eun Hye Lee,,,,,,,,,,,,
57,Louisa Hawton,1985-03-09,"Fremantle, Australia",Atomweight/Light flyweight,5 ft 0 in (152 cm),62 in (157 cm),Orthodox,12,10,5,2,,
58,Naoko Fujioka,,,,,,,,,,,,
59,Tenkai Tsunami,1984-08-13,"Uruma, Okinawa Prefecture, Japan",Light-flyweight/Flyweight/Super-flyweight/Bantamweight,5 ft 2 in (157 cm),,Orthodox,42,31,19,13,1,
60,[8],,,,,,,,,,,,
61,Susi Kentikian,1987-09-11,"Yerevan, Armenian SSR, Soviet Union (now Armenia)",Flyweight,1.55 m (5 ft 1 in),,Orthodox,39,36,17,2,,1
62,Melissa McMorrow,,,,,,,,,,,,
63,Kenia Enriquez,1993-10-21,"Tijuana, Baja California, Mexico",Light flyweight/Flyweight,5 ft 3 in (160 cm),,Orthodox,24,23,9,1,,
64,Nana Yoshikawa,,,,,,,,,,,,
65,Monserrat Alarcón,1994-03-07,,Atomweight/Mini-flyweight/Light-flyweight/Flyweight,,,Orthodox,26,19,0,5,2,
66,Arely Muciño,,,,,,,,,,,,
67,Nicola Adams,1982-10-26,"Leeds, West Yorkshire, England",Flyweight,5 ft 4.5 in (164 cm)[1],,,6,5,3,0,1,
68,Debora Anahí López,,,,,,,,,,,,
69,Gabriela Celeste Alaniz,1996-06-28,"Buenos Aires, Argentina",Flyweight,,,,15,14,6,1,,
70,Carolina Raquel Duer,,,,,,,,,,,,
71,Daniela Romina Bermúdez,1989-07-07,"Villa Gobernador Gálvez, Santa Fe Province, Argentina",Light flyweight/Flyweight/Super flyweight/Bantamweight/Super bantamweight/Featherweight,5 ft 5 in (165 cm),67 in (170 cm),Orthodox,36,29,10,4,3,
72,Raja Amasheh,,,,,,,,,,,,
73,Miyo Yoshida,,,,,,,,,,,,
74,Tomoko Okuda,1995-11-28,"Kakamigahara, Gifu, Japan",Super-flyweight/Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,14,7,1,5,2,
75,Tamao Ozawa,,,,,,,,,,,,
76,Mizuki Hiruta,1996-04-12,"Okayama, Japan",Flyweight/Super-flyweight,5 ft 4 in (163 cm),,Southpaw,6,6,2,0,,
77,Kaliesha West,,,,,,,,,,,,
78,Mayra Alejandra Gómez,,,,,,,,,,,,
79,Sabrina Maribel Pérez,1986-11-14,"Isidro Casanova, Argentina[1]",Bantamweight/Featherweight,5 ft 2 in (157 cm),,Orthodox,21,18,2,2,1,
80,Ana Julaton,1983-11-28,,Super Bantamweight/Flyweight,5 ft 5 in (165 cm),,,,2,,4,3,
81,Yésica Patricia Marcos,,,,,,,,,,,,
82,Marcela Acuña,1976-10-16,"Formosa, Argentina",Super Bantamweight/Featherweight/Light welterweight,5 ft 4+1⁄2 in (164 cm),,Orthodox,62,51,20,9,2,
83,Ina Menzer,,,,,,,,,,,,
84,Jeannine Garside,1978-04-14,"Duncan, British Columbia, Canada",Super bantamweight/Featherweight/Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),,Southpaw,14,10,4,3,,
85,Alejandra Oliveras,1978-03-20,"El Carmen, Jujuy, Argentina",Super bantamweight/Featherweight/Lightweight/Light welterweight,5 ft 1 in (155 cm),,Orthodox,38,33,16,3,2,0
86,Cindy Serrano,1982-05-08,Puerto Rico,Featherweight/Super featherweight/Lightweight/Welterweight,5 ft 6 in (168 cm),,Orthodox,36,27,10,6,3,
87,Heather Hardy,,,,,,,,,,,,
88,Ramona Kuehne,,,,,,,,,,,,
89,Ewa Brodnicka,1984-06-07,"Nowy Dwór Mazowiecki, Poland",Super-featherweight/Lightweight/Light-welterweight,173 cm (5 ft 8 in),179 cm (70 in),Orthodox,21,20,2,1,,
90,Erin McGowan,1981-02-09,"Perth, Western Australia",Lightweight,,,Orthodox,19,17,9,2,,
91,Enis Pacheco,,,,,,,,,,,,
92,María Elena Maderna,,,,,,,,,,,,
93,Yohana Belén Alfonzo,,,,,,,,,,,,
94,Rose Volante,1982-08-12,"São Paulo, Brazil",Lightweight,5 ft 5.5 in (166 cm),67.5 in (171 cm),Orthodox,16,15,8,1,,
95,Fernanda Soledad Alegre,,,,,,,,,,,,
96,Adela Celeste del Carmen Peralta,,,,,,,,,,,,
97,Ana Laura Esteche,,,,,,,,,,,,
98,Christina Linardatou,1988-03-04,"Santiago de los Caballeros, Dominican Republic",Super-featherweight/Lightweight/Light-welterweight,1.63 m (5 ft 4 in)[1],,Orthodox,16,14,6,3,,
99,Hanna Gabriels,1983-01-14,"Alajuela, Costa Rica",,5 ft 6 in (168 cm),68 in (173 cm),Orthodox,24,21,12,2,1,
100,Cecilia Brækhus,,,,,,,,,,,,
101,Sandy Ryan,1993-09-16,"Derby, England",Light-welterweight/Welterweight,5 ft 9+1⁄2 in (177 cm),,Orthodox,8,6,2,1,1,
102,Oxandia Castillo,,,,,,,,,,,,
103,Natasha Jonas,1984-06-18,"Liverpool, England",Super-featherweight/Lightweight/Light-middleweight,5 ft 8 in (173 cm) [1],,Southpaw,18,15,9,2,1,
104,Christina Hammer,,,,,,,,,,,,
105,Femke Hermans,1990-02-05,"Dendermonde, Belgium",Super-welterweight/Middleweight/Super-middleweight,5 ft 8 in (173 cm),,Orthodox,21,17,7,4,,
106,Geovana Peres,1977-02-08,,,168 cm (5 ft 6 in),169 cm (66.5 in),,,3,,0,0,
107,Chirawadee Srisuk,1983-08-28,"Phitsanulok province, Thailand",Atomweight,5 ft 5 in (165 cm),,Orthodox,10,6,1,3,1,
108,Momo Koseki,1982-07-31,"Tokyo, Japan",Atomweight/Mini-flyweight,5 ft 4 in (163 cm),64 in (163 cm),Southpaw,27,24,9,2,1,
109,Fabiana Bytyqi,1995-12-30,"Ústí nad Labem, Czech Republic",Atomweight/Minimumweight,1.64 m (5 ft 5 in),,Orthodox,23,20,5,1,2,
110,Tina Rupprecht,1992-08-23,"Augsburg, Germany",Atomweight/Mini-flyweight,1.53 m (5 ft 0 in),,Orthodox,15,13,3,1,1,
111,Nanako Kikuchi,,,,,,,,,,,,
112,Carina Moreno,,,,,,,,,,,,
113,Anabel Ortiz,1986-07-05,"Tepic, Mexico",Mini flyweight/Light flyweight,5 ft 0 in (152 cm),62+1⁄2 in (159 cm),Orthodox,39,33,4,6,,
114,Mari Ando,,,,,,,,,,,,
115,Eun Soon Choi,,,,,,,,,,,,
116,Siriporn Thaweesuk,1983-04-26,"Lopburi province, Thailand",Light flyweight/Strawweight/Flyweight,5 ft 2 in (157 cm),,Orthodox,48,43,25,5,,
117,Naomi Togashi - Interim champion promoted,,,,,,,,,,,,
118,Ibeth Zamora Silva,,,,,,,,,,,,
119,Yesenia Gómez,1996-01-21,"Cancún, Quintana Roo, Mexico",Mini flyweight/Light flyweight/Flyweight,,,Orthodox,31,20,6,6,4,1
120,Kim Clavel,,,,,,,,,,,,
121,Yesica Nery Plata,,,,,,,,,,,,
122,Stefania Bianchini,,,,,,,,,,,,
123,Simona Galassi,,,,,,,,,,,,
124,Mariana Juárez,1980-01-29,"Santa Urusula, Tlaxcala, Mexico[2]",Flyweight/Super flyweight/Bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,72,55,19,13,4,
125,Renáta Szebelédi,1993-08-02,"Budapest, Hungary",Flyweight/Super-flyweight/Bantamweight/Super-bantamweight/Featherweight,162 cm (5 ft 4 in),,Southpaw,26,16,10,10,,
126,Shindo Go,,,,,,,,,,,,
127,Jessica Chávez,1988-07-15,"Mexico City, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),62+1⁄2 in (159 cm),Orthodox,38,30,4,5,3,
128,Myung Ok Ryu,,,,,,,,,,,,
129,Ana María Torres,1980-01-25,"Nezahualcóyotl, México, Mexico[3]",Super flyweight/Bantamweight,5 ft 4 in (163 cm)[1],,Orthodox,34,28,16,3,3,
130,Zulina Muñoz,1987-08-10,"Chicoloapan de Juárez, Mexico",Super flyweight/Bantamweight,5 ft 3 in (160 cm),62 in (157 cm),Orthodox,60,53,30,5,2,
131,Guadalupe Martínez Guzmán,1992-04-05,"Tlalnepantla, State of Mexico, Mexico",Light flyweight/Flyweight/Super flyweight,,,Orthodox,30,20,6,10,,
132,Lourdes Juárez,,,,,,,,,,,,
133,Asley González Macías,,,,,,,,,,,,
134,Kwang Ok Kim,,,,,,,,,,,,
135,Anita Christensen,,,,,,,,,,,,
136,Susana Vázquez,,,,,,,,,,,,
137,Galina Koleva Ivanova,,,,,,,,,,,,
138,Usanakorn Thawilsuhannawang,1987-12-31,"Nakhon Ratchasima province, Thailand",Bantamweight/Super flyweight,5 ft 7 in (170 cm),69 in (175 cm),Southpaw,23,19,18,4,,
139,Susie Ramadan,,,,,,,,,,,,
140,Yazmín Rivas,,,Flyweight/Super flyweight/Bantamweight/Super bantamweight,5 ft 4 in (163 cm),65 in (165 cm),Orthodox,55,40,11,10,1,4
141,Catherine Phiri,,,,,,,,,,,,
142,Yulihan Luna,1994-02-21,"Gómez Palacio, Durango, Mexico",Bantamweight/Super bantamweight,5 ft 0 in (152 cm),71 in (180 cm),Orthodox,25,21,3,3,1,
143,Jackie Nava,,,,,,,,,,,,
144,Alejandra Marina Oliveras,,,,,,,,,,,,
145,Marcela Eliana Acuña,,,,,,,,,,,,
146,Alicia Ashley,1967-08-23,Jamaica,Super Bantamweight,5 ft 4.5 in (163.8 cm)[1],,Southpaw,37,24,4,12,1,
147,Fatuma Zarika,1985-03-13,"Nairobi, Kenya",Bantamweight/Super-bantamweight/Featherweight/Super-featherweight,163 cm (5 ft 4 in),168 cm (66 in),Orthodox,49,34,18,13,2,
148,Yamileth Mercado,,,,,,,,,,,,
149,Sharon Anyos,1970-10-13,,featherweight,164 cm (5 ft 5 in),169 cm (66.5 in),,,7,,1,2,
150,Jelena Mrdjenovich,,,,,,,,,,,,
151,Melissa Hernández,1980-02-04,"Mayaguez, Puerto Rico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 2 in (157 cm),,Orthodox,34,23,7,8,3,
152,Edith Soledad Matthysse,,,,,,,,,,,,
153,Olivia Gerula,,,,,,,,,,,,
154,Frida Wallberg,,,,,,,,,,,,
155,Diana Prazak,1979-07-20,"Melbourne, Australia",Super-featherweight/Lightweight/Light-welterweight,5 ft 5 in (165 cm),,Orthodox,18,14,9,4,,
156,Eva Wahlström,,,,,,,,,,,,
157,Jessica Rakoczy,1977-04-14,,Lightweight/Super bantamweight/Bantamweight/Flyweight/Strawweight,5 ft 8 in (173 cm),68.0 in (173 cm)[1],Orthodox,,1,,5,,
158,Eliza Olson,,,,,,,,,,,,
159,Ann Saccurato,,,,,,,,,,,,
160,Érica Anabella Farías,,,,,,,,,,,,
161,Delfine Persoon,1985-01-14,"Hooglede, West Flanders, Belgium",Super-featherweight/Lightweight,175 cm (5 ft 9 in),,Orthodox,52,48,19,3,,1
162,Mary Jo Sanders,1974-01-13,"Detroit, Michigan, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 7 in (170 cm),,Orthodox,27,25,8,1,1,
163,Anne Sophie Mathis,1977-07-23,"Nancy, France",Light-welterweight/Welterweight/Light-middleweight,5 ft 11 in (180 cm),,Orthodox,32,27,23,4,1,1
164,Mónica Silvina Acosta,,,,,,,,,,,,
165,Holly Holm,1981-10-17,,Bantamweight/Featherweight/Light Welterweight/Welterweight/Light Middleweight,5 ft 8 in (173 cm),70 in (178 cm)[1],,,15,,6,7,
166,Jisselle Salandy,,,,,,,,,,,,
167,Christy Martin,,,,,,,,,,,,
168,Mia St John,,,,,,,,,,,,
169,Tiffany Junot,,,,,,,,,,,,
170,Ewa Piatkowska,,,,,,,,,,,,
171,Yvonne Reis,,,,,,,,,,,,
172,Wang Ya Nan,1984-10-29,China,Middleweight,1.75 m (5 ft 9 in)[1],,Orthodox,8,8,3,0,0,0
173,Tori Nelson,1976-08-26,"South Hill, Virginia, U.S.",Welterweight/Light middleweight/Middleweight/Super middleweight,5 ft 6 in (168 cm),64 in (163 cm),Orthodox,25,20,4,2,3,
174,Laila Ali,,,,,,,,,,,,
175,Natalya Ragozina,,,,,,,,,,,,
176,Nikki Adler,1987-04-02,"Augsburg, West Germany",Middleweight,173 cm (5 ft 8 in),,Orthodox,18,16,9,2,,
177,Franchon Crews Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",Super middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9,2,2,,1
178,Vonda Ward,,,,,,,,,,,,
179,Martha Salazar,1970-02-02,,Heavyweight,5 ft 9 in (1.75 m),70.0 in (178 cm),,,0,,1,,
180,Alejandra Jiménez,,,,,,,,,,,,
181,Vaia Zaganas,1975-05-22,"Burnaby, British Columbia",Minimumweight/[1],5 ft 0.5 in (154 cm)[1],61 in (155 cm)[1],Orthodox,19,16,6,3,0,0
182,Cho Rong Son,,,,,,,,,,,,
183,Ju Hee Kim,,,,,,,,,,,,
184,Yésica Bopp,1984-04-11,"Wilde, Buenos Aires, Argentina",Light-flyweight/Flyweight,5 ft 0 in (152 cm),,Orthodox,40,37,17,3,,
185,Ha-Na Kim,,,,,,,,,,,,
186,Xiyan Zhang,,,,,,,,,,,,
187,Naoko Yamaguchi,,,,,,,,,,,,
188,Linda Laura Lecca,1988-07-13,"Trujillo, Peru",Super flyweight/Super bantamweight,,,Orthodox,22,13,3,4,2,3
189,Maribel Ramírez,1986-06-28,,Light flyweight/Flyweight/Super flyweight/Bantamweight,,,,24,13,3,9,2,
190,Clara Lescurat,,,,,,,,,,,,
191,Emanuela Pantani,,,,,,,,,,,,
192,Janeth Pérez,,,,,,,,,,,,
193,Irma García,,,,,,,,,,,,
194,Mayerlin Rivas,1987-12-05,,,165 cm (5 ft 5 in)[1],,,,2,,1,2,
195,Shannon Courtenay,1993-07-03,"Abbots Langley, Hertfordshire, England[3]",Bantamweight/Super-bantamweight,,,Orthodox,9,7,3,2,,
196,Jamie Mitchell,,,,,,,,,,,,
197,Nina Hughes,,,Bantamweight/Super bantamweight,4 ft 11 in (150 cm)[1],,Orthodox,6,6,2,,,
198,Lisa Brown,,,,,,,,,,,,
199,Chanttall Martínez,1990-12-28,"David, Chiriquí, Panama",Super-bantamweight/Featherweight,,,Orthodox,27,19,8,8,,
200,Interim,,,,,,,,,,,,
201,Liliana Palmera,,,,,,,,,,,,
202,Alys Sánchez,,,,,,,,,,,,
203,Erika Cruz,1990-05-03,"Mexico City, Mexico",Featherweight,168 cm (5 ft 6 in),163 cm (64 in),Southpaw,19,17,3,2,,
204,Gao Li Jun,,,,,,,,,,,,
205,Hwa-Won Lee,,,,,,,,,,,,
206,Hyun Mi Choi,,,,,,,,,,,,
207,Ogleidis Suárez,,,Super bantamweight/Featherweight/Super featherweight/Welterweight/Light middleweight,,,Orthodox,36,30,14,5,1,
208,Kina Malpartida,1980-03-25,"Lima, Peru",Super Featherweight,165 cm (5 ft 5 in)[1],,,17,14,4,3,0,0
209,Layla McCarter,1979-04-19,,Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 4 in (163 cm),65+1⁄2 in (166 cm),,,44,,1,5,
210,Cecilia Comunales,1988-12-04,"Paysandú, Uruguay",lightweight,5 ft 9 in (1.75 m),,Orthodox,15,14,9,1,0,
211,Anahí Ester Sánchez,1991-07-21,"Pergamino, Argentina",Featherweight/Super-featherweight/Lightweight/Light-welterweight,,,Orthodox,27,21,13,6,,
212,Myriam Lamare,1975-01-01,,Featherweight,5 ft 6 in (1.68 m),70.0 in (178 cm),,,1,,0,,
213,Teresa Perozzi,1973-12-31,"New Hampshire, United States[2]",Middleweight/Super-middleweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Southpaw,17,9,1,5,3,
214,Alicia Napoleon Espinosa,,,,,,,,,,,,
215,Elin Cederroos,1985-01-16,Sweden,Super-middleweight,5 ft 10+1⁄2 in (179 cm),70 in (178 cm),,10,8,4,2,,
216,Saemi Hanagata,1984-10-28,"Yokohama, Kanagawa Prefecture, Japan",Atomweight/Mini-flyweight/Light-flyweight,,,Orthodox,28,16,7,7,5,
217,Ayaka Miyao,1983-08-29,"Chikuma, Nagano, Japan[1]",Atomweight/Mini-flyweight/Light-flyweight,5 ft 0+1⁄2 in (154 cm)[1],59+1⁄2 in (151 cm)[1],Orthodox,36,25,6,10,2,
218,Sumire Yamanaka,,,,,,,,,,,,
219,Katia Gutiérrez,1989-04-29,"Los Mochis, Sinaloa, Mexico",Mini flyweight/Light flyweight,,,Orthodox,31,23,6,8,,
220,Nancy Franco,,,,,,,,,,,,
221,Victoria Argueta,,,,,,,,,,,,
222,Joana Pastrana,1990-09-29,"Madrid, Spain",Mini-flyweight,1.61 m (5 ft 3 in)[1],,,20,17,5,3,,
223,Irma Sánchez,1987-12-06,"Guadalajara, Jalisco, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),65 in (165 cm),Orthodox,39,30,8,8,1,
224,Naoko Shibata,,,,,,,,,,,,
225,Alondra García,,,,,,,,,,,,
226,Guadalupe Bautista,1988-04-19,"Mexico City, Mexico",Light flyweight/Flyweight,,,,30,17,3,11,2,
227,Evelyn Nazarena Bermúdez,1996-04-01,"Villa Gobernador Gálvez, Santa Fe, Argentina",Light flyweight/Super flyweight,,,Orthodox,20,18,6,1,1,
228,[1],,,,,,,,,,,,
229,Ava Knight,1988-08-15,,Light flyweight/Flyweight/Super flyweight/Bantamweight,5 ft 4 in (163 cm),70.0 in (178 cm),,,1,,1,5,
230,Gabriela Bouvier,,,,,,,,,,,,
231,Leonela Paola Yúdica,1988-09-18,"Santa Lucía, San Juan, Argentina",Flyweight,,,,20,16,0,0,3,1
232,Aracely Mucino,,,,,,,,,,,,
233,Gabriela Fundora,,,,,,,,,,,,
234,Débora Dionicius,1988-03-19,"Villaguay, Argentina[1]",Super flyweight/Bantamweight/Featherweight,5 ft 4 in (163 cm)[1],,Orthodox,39,35,6,4,,
235,Jorgelina Guanini,1992-05-31,"Necochea, Buenos Aires, Argentina",Super flyweight/Bantamweight/Super bantamweight,5 ft 2+1⁄2 in (159 cm),,Orthodox,13,9,1,2,2,
236,Micaela Luján,,,Super flyweight,,,Orthodox,11,9,3,1,1,
237,Carolina Rodríguez,1986-05-24,,,,,,,,,,,
238,María Cecilia Román,1983-01-21,"Villa Mallea, San Juan, Argentina",Bantamweight,,,Orthodox,27,17,0,8,1,1
239,Ebanie Bridges,1986-09-22,"Sydney, Australia",Bantamweight/Super-bantamweight,155 cm (5 ft 1 in),,,11,9,4,2,,
240,Ada Vélez,1969-09-15,Puerto Rico,Bantamweight,,,Southpaw,28,20,6,5,3,0
241,Katy Wilson Castillo,,,,,,,,,,,,
242,,,,,,,,,,,,,
243,Ellie Scotney,1998-03-16,"Lewisham, London, England",Featherweight,1.64 m (5 ft 5 in),,Orthodox,8,8,0,0,,
244,Stacey Reile,,,Featherweight,5 ft 4 in (1.63 m),,Orthodox,14,10,1,4,,
245,Dahiana Santana,,,,,,,,,,,,
246,Jennifer Han,1983-06-25,"El Paso, Texas, U.S.",Featherweight/Super featherweight/Lightweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,26,18,1,5,1,3
247,Sarah Mahfoud,1989-09-29,"Tórshavn, Faroe Islands[2]",Featherweight,,,Orthodox,12,11,3,1,,
248,Claudia Andrea López,,,,,,,,,,,,
249,Betiana Patricia Viñas,,,,,,,,,,,,
250,Maiva Hamadouche,1989-11-04,"Albi, France",,1.62 m (5 ft 4 in),1.63 m (64 in),,24,22,18,2,,
251,Victoria Noelia Bustos,,,,,,,,,,,,
252,Marisa Gabriela Núñez,,,,,,,,,,,,
253,Mary McGee,,,,,,,,,,,,
254,Daniella Smith,1972-07-30,,,,,Orthodox,,34,,6,,
255,Noni Tenge,,,,,,,,,,,,
256,Eva Bajic,,,,,,,,,,,,
257,Paola Gabriela Casalinuovo,,,,,,,,,,,,
258,Chris Namús,1987-10-03,"Montevideo, Uruguay",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,32,25,8,6,,1
259,Marie Eve Dicaire,1986-07-29,"Saint-Eustache, Quebec, Canada",Welterweight/Light middleweight,,,Southpaw,20,18,1,2,,
260,Lani Daniels,,,,,,,,,,,,
261,Pinklon Thomas,1958-02-10,"Pontiac, Michigan, U.S.",Heavyweight,6 ft 3 in (191 cm),77 in (196 cm),Orthodox,51,43,34,7,1,
262,Lionel Butler,1967-07-25,"Bogalusa, Louisiana, U.S.",Heavyweight,5 ft 11 in (180 cm),72 in (183 cm),Orthodox,51,32,25,17,1,1
263,Danell Nicholson,1967-11-15,"Chicago, Illinois, U.S.",Heavyweight,6 ft 4 in (1.93 m),80 in (203 cm),Orthodox,47,42,32,5,0,
264,Jimmy Thunder,1966-02-03,"Apia, Samoa",Heavyweight,188 cm (6 ft 2 in),196 cm (77 in),Orthodox,49,35,28,14,,
265,Brian Nielsen,,,,,,,,,,,,
266,Lennox Lewis,,,,,,,,,,,,
267,Hasim Rahman,1972-11-07,"Baltimore, Maryland, U.S.",Heavyweight,6 ft 2+1⁄2 in (189 cm),82 in (208 cm),Orthodox,62,50,41,9,2,1
268,Wladimir Klitschko,1976-03-25,"Semipalatinsk, Kazakh SSR, Soviet Union",Heavyweight,1.98 m (6 ft 6 in)[1],206 cm (81 in)[2],Orthodox,69,64,53,5,,
269,Tyson Fury,1988-08-12,"Manchester, England",Heavyweight,6 ft 9 in (206 cm)[1],85 in (216 cm)[1],Orthodox,35,34,24,,1,
270,Anthony Joshua,1989-10-15,"Watford, England",Heavyweight,6 ft 6 in (198 cm)[1],82 in (208 cm)[1],Orthodox,30,27,24,3,,
